cat,tree,meat,before,live.cats,cond
2,100,55,No,No,low
1,500,200,No,No,high
30,200,500,No,No,high
25,750,800,No,No,high
17,120,200,No,No,low
50,500,365,No,No,high
25,1000,2500,No,Yes,high
6,300,75,No,Yes,low
25,800,2000,No,No,high
17,2500,20,No,No,high
12,1000,200,Yes,No,high
5,120,75,No,Yes,low
20,1000,500,No,No,high
25,300,500,No,Yes,high
30,532,50,No,Yes,high
10,500,800,No,No,high
32,1024,5000,No,No,high
45,700,1100,No,No,high
1,40,65,No,No,low
5,78,73,No,No,low
16,108,300,No,Yes,low
2,70,45,No,No,low
24,909,808,No,No,high
30,550,900,No,No,high
7,65,70,No,Yes,low
5,300,70,No,No,low
7,75,54,No,No,low
4,51,60,No,No,low
30,800,700,No,No,high
6,130,70,No,Yes,low
15,80,33,No,Yes,low
20,450,350,Yes,Yes,high
1,140,80,No,Yes,low
7,107,100,No,No,low
5,350,89,No,Yes,low
8,95,20,No,No,low
4,70,65,No,No,low
15,400,600,No,Yes,high
35,1000,400,No,Yes,high
5,800,1500,No,No,high
5,200,60,No,No,low
10,300,250,No,Yes,high
25,500,750,No,No,high
2,65,90,No,No,low
50,750,350,No,Yes,high
50,390,500,No,No,high
30,700,300,No,No,high
50,100,1500,No,No,high
3,400,800,No,No,high
5,150,70,No,No,low
15,800,500,No,No,high
25,300,500,No,No,high
15,985,365,No,No,low
10,70,100,,No,low
15,1000,1005,No,No,high
6,40,55,No,No,low
200,800,330,No,Yes,high
25,1000,50000,No,No,high
2,100,55,No,Yes,low
10,120,100,No,No,low
25,250,30,Yes,No,high
25,700,100,Yes,No,high
15,400,2000,No,Yes,high
8,100,80,No,No,low
35,800,855,No,No,high
30,500,500,No,No,high
20,800,1100,No,No,high
15,250,40,No,Yes,low
10,60,100,No,No,low
16,312,78,No,Yes,low
5,300,140,No,No,low
37,758,1203,No,No,high
30,800,300,No,Yes,high
20,400,75,No,No,low
5,75,150,No,No,low
12,700,1200,No,No,high
15,250,80,No,No,low
20,600,1200,No,Yes,high
30,300,200,No,No,high
25,613,375,No,No,high
2,70,80,Yes,No,low
15,300,100,No,No,high
50,500,1300,No,No,high
45,800,900,No,No,high
50,800,3000,No,No,high
7,90,70,No,Yes,low
6,100,80,No,No,low
5,300,100,No,No,high
10,60,80,No,Yes,low
20,450,1500,No,Yes,high
20,700,1200,No,No,high
5,800,20,No,Yes,high
10,400,300,No,Yes,high
30,380,200,No,No,high
32,800,1001,No,Yes,high
20,360,700,No,Yes,high
17,800,1000000000,No,Yes,high
2,65,80,No,No,low
20,650,2000,No,No,high
5,30,30,No,No,low
5,75,60,No,Yes,low
6,150,30,No,Yes,low
8,80,45,No,Yes,low
20,250,200,No,No,low
5,250,120,Yes,Yes,low
10,700,200,No,No,high
8,500,300,No,No,high
30,200,200,No,Yes,high
30,380,222,No,No,low
30,900,500,No,No,high
6,45,52,No,Yes,low
28,1100,1500,No,Yes,high
2,80,80,No,No,low
2,750,600,No,Yes,high
20,1200,500,No,Yes,high
15,250,100,No,No,low
8,300,900,Yes,No,high
5,45,100,No,No,low
5,75,200,No,No,low
1,100,70,No,No,low
20,250,300,No,No,high
65,500,1500,No,Yes,high
5,75,100,No,No,low
30,150,500,No,No,low
50,650,1500,No,No,high
10,70,80,No,No,low
25,1000,500,No,No,high
20,650,500,No,No,high
6,75,44,No,Yes,low
20,500,800,Yes,No,high
12,100,73,No,No,low
10,350,90,No,Yes,low
20,750,1000,No,Yes,high
20,250,65,No,No,low
10,1000,100,No,Yes,high
25,700,650,No,Yes,high
25,300,500,No,No,high
70,700,2000,No,No,high
8,250,100,No,Yes,low
2,100,25,No,Yes,low
2,65,65,Yes,No,low
2,100,60,No,No,low
15,60,100,No,No,low
15,250,40,No,Yes,low
20,650,500,No,No,high
30,100,2000,Yes,Yes,high
30,325,175,No,No,low
6,35,73,No,No,low
8,80,45,No,Yes,low
45,400,1500,No,Yes,high
15,1500,500,No,Yes,high