Urban area,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,College,High school,No high school,Has rapid transit
"Aberdeen--Bel Air South--Bel Air North, MD",0.909970369,0.010547109,5232,0.962115494,0.89468123,1234,0.4273,0.367897325,0.559832918,0.072269757,Yes
"Abilene, TX",0.888628105,0.031728646,567,0.856491105,0.753253822,822,0.456,0.245740612,0.620045202,0.134214186,No
"Akron, OH",0.922375046,0.010904779,7004,0.944340338,0.82669424,787,0.4559,0.289675384,0.626027083,0.084297533,No
"Albany, GA",0.902176321,0.022926127,448,0.854641079,0.7674855,689,0.4706,0.232903193,0.641649568,0.125447239,No
"Albany--Schenectady, NY",0.865016869,0.035418175,11849,0.967417615,0.857791409,967,0.4574,0.386265763,0.531278066,0.082456171,Yes
"Albuquerque, NM",0.896003416,0.02061191,10032,0.931852951,0.843379746,863,0.4636,0.343562191,0.562311471,0.094126338,No
"Alexandria, LA",0.88765989,0.024995366,236,0.923721818,0.768582874,784,0.5041,0.229797708,0.599385577,0.170816715,No
"Allentown, PA--NJ",0.910435151,0.019755203,8224,0.940044008,0.830979239,981,0.4549,0.286304547,0.606923257,0.106772196,Yes
"Alton, IL--MO",0.92942019,0.010636041,944,0.943771116,0.786948408,744,0.4297,0.210652541,0.684374892,0.104972566,No
"Altoona, PA",0.895422104,0.039089796,775,0.963821209,0.802752573,696,0.4637,0.216314423,0.684260289,0.099425287,No
"Amarillo, TX",0.948972596,0.011562195,1089,0.827854903,0.808398603,816,0.4648,0.227262535,0.602580202,0.170157264,No
"Anchorage, AK",0.873395034,0.035537152,3151,0.879331167,0.892657327,1277,0.4291,0.338586244,0.576516181,0.084897574,Yes
"Anderson, IN",0.911314489,0.021894657,457,0.921275853,0.749096805,691,0.4549,0.185592908,0.679472615,0.134934477,No
"Anderson, SC",0.945769171,0.008034197,753,0.889920378,0.661814695,768,0.4757,0.223073744,0.61431819,0.162608067,No
"Ann Arbor, MI",0.782217911,0.080775614,7656,0.972770643,0.873057497,1034,0.4825,0.539778359,0.405573403,0.054648238,Yes
"Anniston--Oxford, AL",0.92480696,0.016218768,304,0.891571218,0.737511228,629,0.4706,0.212941624,0.655998878,0.131059498,No
"Antioch, CA",0.866249437,0.014459901,2759,0.942769552,0.907782822,1697,0.4197,0.217391732,0.631242893,0.151365375,Yes
"Appleton, WI",0.911159489,0.02139479,3044,0.963242409,0.876573157,774,0.4391,0.321678184,0.625972267,0.052349549,No
"Asheville, NC",0.870522437,0.013909725,3334,0.883694537,0.805323482,931,0.4466,0.388356493,0.519272747,0.092370761,No
"Athens-Clarke County, GA",0.822067279,0.041336533,1427,0.881559318,0.865808509,848,0.5194,0.453249642,0.440516977,0.106233381,No
"Atlanta, GA",0.854747169,0.0143239,113121,0.868071501,0.878861368,1141,0.4734,0.406496165,0.495245695,0.09825814,Yes
"Atlantic City, NJ",0.829836189,0.040948217,2963,0.908795365,0.82619491,1022,0.48,0.313816519,0.557191739,0.128991742,No
"Auburn, AL",0.912079011,0.049434327,1472,0.935426211,0.849573974,793,0.5075,0.40618816,0.511007586,0.082804255,No
"Augusta-Richmond County, GA--SC",0.922331081,0.018249551,4588,0.887076627,0.808988606,851,0.4588,0.278875473,0.583864807,0.13725972,No
"Austin, TX",0.853609119,0.017970825,58110,0.888989853,0.898995001,1250,0.4589,0.476776809,0.43587963,0.087343561,Yes
"Avondale--Goodyear, AZ",0.906959554,0.010755847,2657,0.889568757,0.877967107,1205,0.4041,0.267366576,0.596351363,0.136282062,No
"Bakersfield, CA",0.923204694,0.008544347,2788,0.91542232,0.840443686,992,0.4492,0.178568471,0.573244452,0.248187077,No
"Baltimore, MD",0.826883685,0.026462063,61661,0.945720859,0.852475236,1255,0.4582,0.398136378,0.500642541,0.101221081,Yes
"Barnstable Town, MA",0.902951356,0.01514933,1726,0.966897886,0.87489851,1252,0.4461,0.410560622,0.539561208,0.04987817,Yes
"Baton Rouge, LA",0.934689519,0.010523915,5539,0.924346425,0.82628713,911,0.4747,0.317010396,0.573762898,0.109226706,No
"Battle Creek, MI",0.923371399,0.04162341,665,0.963482059,0.805845511,693,0.488,0.23489617,0.681804812,0.083299018,No
"Bay City, MI",0.937980558,0.007214714,216,0.935074517,0.796205153,601,0.4737,0.219914297,0.688831191,0.091254512,No
"Beaumont, TX",0.959860164,0.006739839,313,0.840794615,0.766451338,819,0.4823,0.237073076,0.627145458,0.135781467,No
"Bellingham, WA",0.82910684,0.065012312,1993,0.962230581,0.889366355,1080,0.4604,0.454988387,0.493701404,0.051310209,No
"Beloit, WI--IL",0.935277926,0.018005964,415,0.915447076,0.839430894,787,0.3958,0.169766345,0.699401584,0.130832071,No
"Billings, MT",0.919122764,0.031803836,1373,0.93154645,0.861145691,834,0.4865,0.324523041,0.589248901,0.086228059,No
"Binghamton, NY--PA",0.892376183,0.030288576,1877,0.95063525,0.788480762,755,0.4959,0.279689758,0.616200433,0.104109809,Yes
"Birmingham, AL",0.923430429,0.014092731,9628,0.913383002,0.82894207,897,0.4924,0.375367904,0.538237819,0.086394277,Yes
"Bismarck, ND",0.95102797,0.007369968,1120,0.94269341,0.821766103,863,0.4581,0.329078976,0.608683305,0.062237718,No
"Bloomington, IN",0.782982381,0.081095115,1593,0.941990953,0.85741168,853,0.5088,0.501681443,0.413184444,0.085134113,No
"Bloomington--Normal, IL",0.889258283,0.039335664,6705,0.962716842,0.82235449,806,0.5084,0.485805035,0.478863912,0.035331052,No
"Boise City, ID",0.897464856,0.014637169,8082,0.919364448,0.815483795,928,0.471,0.36096803,0.589106489,0.049925482,Yes
"Bonita Springs, FL",0.89221843,0.006757803,1685,0.863142513,0.857044604,1302,0.5115,0.383882648,0.511188605,0.104928747,No
"Boston, MA--NH--RI",0.720641044,0.055999922,118575,0.970568897,0.872654163,1410,0.485,0.478439176,0.433873276,0.087687548,Yes
"Bowling Green, KY",0.93764988,0.032374101,690,0.938527065,0.854495801,769,0.4808,0.307031132,0.570046849,0.122922019,No
"Bremerton, WA",0.744401924,0.062790989,3293,0.962830902,0.918003881,1178,0.4072,0.336712453,0.611819904,0.051467643,Yes
"Bridgeport--Stamford, CT--NY",0.800122772,0.027399709,13281,0.917489361,0.862854677,1422,0.5369,0.460239206,0.432587855,0.107172938,Yes
"Bristol--Bristol, TN--VA",0.949588702,0.009973065,265,0.915934083,0.797967377,690,0.4317,0.254354323,0.598371638,0.147274039,No
"Brownsville, TX",0.950049082,0.007525923,407,0.686496247,0.367413244,696,0.4522,0.189756726,0.454389975,0.355853299,No
"Buffalo, NY",0.892344101,0.025121919,9752,0.964923463,0.812353133,775,0.4731,0.337058166,0.578676529,0.084265305,Yes
"Burlington, NC",0.948113508,0.006410256,1624,0.873432408,0.789814973,791,0.4662,0.279768607,0.559018348,0.161213045,No
"Burlington, VT",0.764781364,0.111851413,3480,0.965703435,0.844808647,1273,0.4728,0.501292834,0.42181906,0.076888106,No
"Camarillo, CA",0.88521167,0.005320366,1459,0.958562031,0.921875577,1951,0.4585,0.457909671,0.480866241,0.061224088,No
"Canton, OH",0.927138157,0.013366684,2614,0.939351524,0.847445056,731,0.4383,0.219083748,0.694339067,0.086577185,No
"Cape Coral, FL",0.903851554,0.012023174,3217,0.862732265,0.860677136,1104,0.467,0.259043976,0.636548993,0.104407031,No
"Carbondale, IL",0.853767242,0.056479809,80,0.928456727,0.802996032,681,0.4977,0.292378856,0.639869394,0.06775175,No
"Casper, WY",0.911987813,0.014736057,516,0.866441459,0.836076342,875,0.4234,0.257814779,0.674864798,0.067320423,No
"Cedar Rapids, IA",0.931355305,0.018507785,4594,0.956643417,0.864166864,736,0.4082,0.332246265,0.61496346,0.052790275,No
"Champaign, IL",0.747610078,0.088657253,2978,0.966007437,0.828779365,819,0.5456,0.508410582,0.45303386,0.038555558,No
"Charleston, WV",0.893311787,0.034051184,1897,0.938717424,0.786392849,647,0.4872,0.27882189,0.60482656,0.11635155,No
"Charleston--North Charleston, SC",0.881047734,0.022302586,9171,0.885516146,0.814957794,1116,0.473,0.369184941,0.547762425,0.083052634,No
"Charlotte, NC--SC",0.865105184,0.015807797,34774,0.897546614,0.887082679,1092,0.4829,0.449425394,0.4631533,0.087421306,Yes
"Charlottesville, VA",0.787322467,0.083290439,2111,0.940962299,0.859410487,1186,0.5059,0.587861245,0.341529508,0.070609247,No
"Chattanooga, TN--GA",0.911329547,0.020662066,4790,0.900411922,0.774967789,826,0.495,0.29869579,0.611873692,0.089430518,Yes
"Cheyenne, WY",0.872578975,0.045209736,536,0.882863427,0.822209491,956,0.4316,0.265567696,0.642935461,0.091496843,No
"Chicago, IL--IN",0.762648384,0.031252699,148494,0.921368286,0.83809596,1087,0.4869,0.385876581,0.495529336,0.118594083,Yes
"Chico, CA",0.840945833,0.050057459,1275,0.938504556,0.902857546,998,0.482,0.363665944,0.580461729,0.055872327,No
"Cincinnati, OH--KY--IN",0.898809905,0.020008044,32304,0.951012784,0.860415716,806,0.4659,0.362268847,0.551852628,0.085878525,No
"Clarksville, TN--KY",0.922674491,0.033823513,1482,0.91200588,0.888681159,970,0.4294,0.262169673,0.648810284,0.089020043,No
"Cleveland, OH",0.893913017,0.01887086,25704,0.953242185,0.819368333,807,0.4902,0.334499166,0.576176446,0.089324388,Yes
"Cleveland, TN",0.906182246,0.027999752,591,0.876450412,0.832560244,750,0.4281,0.214536174,0.646382601,0.139081225,No
"Coeur d'Alene, ID",0.922465486,0.012092356,664,0.92291689,0.866860452,978,0.3966,0.268209173,0.678325454,0.053465373,No
"College Station--Bryan, TX",0.898578391,0.015204258,2678,0.876677462,0.824251892,909,0.519,0.413773137,0.440908093,0.145318771,No
"Colorado Springs, CO",0.877924139,0.028420792,13665,0.930459147,0.907027701,1133,0.425,0.383319942,0.550789262,0.065890796,No
"Columbia, MO",0.859824327,0.04572994,2126,0.903580665,0.805287815,863,0.4597,0.487878987,0.461111476,0.051009536,No
"Columbia, SC",0.873485051,0.059682619,9242,0.900850403,0.838410332,916,0.4785,0.369153309,0.544340083,0.086506607,Yes
"Columbus, GA--AL",0.885879158,0.012530307,2259,0.879124107,0.747488423,828,0.4922,0.234633297,0.634859699,0.130507004,No
"Columbus, OH",0.888536216,0.021433257,35907,0.932209203,0.886056436,933,0.4616,0.404409396,0.511504648,0.084085956,No
"Concord, CA",0.757051618,0.019625485,26647,0.970432072,0.92673214,2093,0.4598,0.597662612,0.355145274,0.047192115,Yes
"Concord, NC",0.914030215,0.005439918,2782,0.896774475,0.831024471,785,0.4437,0.256572661,0.5981767,0.145250639,No
"Conroe--The Woodlands, TX",0.883376573,0.012833959,4686,0.863492488,0.917615841,1223,0.5022,0.410560205,0.484862601,0.104577193,No
"Corpus Christi, TX",0.936780571,0.012091571,1201,0.834158939,0.837446129,971,0.474,0.217575466,0.616777407,0.165647127,No
"Dallas--Fort Worth--Arlington, TX",0.907108307,0.013377025,121776,0.824894522,0.869565453,1084,0.467,0.344615913,0.498555841,0.156828246,Yes
"Dalton, GA",0.971305777,0.013854127,493,0.811240828,0.842676498,703,0.4681,0.143106204,0.491627924,0.365265872,No
"Danbury, CT--NY",0.898831731,0.009454879,3877,0.901134697,0.891359807,1409,0.4457,0.395941199,0.486896121,0.11716268,No
"Davenport, IA--IL",0.92720928,0.019211452,2826,0.949419273,0.818241194,749,0.4453,0.275006007,0.624672245,0.100321748,No
"Dayton, OH",0.91627291,0.023050242,13314,0.941205371,0.85136473,770,0.4594,0.310918266,0.59229166,0.096790075,Yes
"Decatur, AL",0.963314603,0.004424207,407,0.905630827,0.794672221,628,0.4486,0.227091307,0.64344925,0.129459443,No
"Decatur, IL",0.906948672,0.010260313,511,0.956644326,0.800970739,665,0.4853,0.228290461,0.682148927,0.089560612,No
"DeKalb, IL",0.893571261,0.038612763,764,0.933581883,0.853770869,816,0.4545,0.330642522,0.594660194,0.074697284,No
"Deltona, FL",0.917622956,0.011694979,1930,0.895660071,0.798127946,1039,0.4161,0.214461951,0.678447753,0.107090295,No
"Denton--Lewisville, TX",0.881920498,0.017611555,12931,0.890246022,0.935208711,1142,0.4358,0.467632312,0.447524694,0.084842994,Yes
"Denver--Aurora, CO",0.82981085,0.020777794,72559,0.925728757,0.891160008,1354,0.4476,0.435931343,0.471999748,0.092068909,Yes
"Des Moines, IA",0.906260717,0.018931738,11995,0.954042222,0.848821716,888,0.4398,0.38078588,0.534184987,0.085029133,No
"Detroit, MI",0.921482362,0.014766559,55553,0.94821781,0.824462334,902,0.4861,0.314824211,0.581101609,0.10407418,Yes
"Dothan, AL",0.964434115,0.005211635,174,0.899541718,0.776035877,717,0.4967,0.247491353,0.630150732,0.122357915,No
"Dover, DE",0.89598664,0.01983741,1045,0.930947445,0.891559175,977,0.4365,0.274888119,0.615856891,0.10925499,No
"Dover--Rochester, NH--ME",0.893141251,0.048264535,2225,0.937825211,0.863725032,1069,0.4179,0.311027142,0.588401005,0.100571853,No
"Dubuque, IA--IL",0.922630896,0.025241598,1193,0.957041934,0.822802001,756,0.4753,0.316827637,0.605433543,0.07773882,No
"Duluth, MN--WI",0.83997398,0.070385429,1139,0.951150527,0.830178518,793,0.4436,0.345443779,0.598960458,0.055595763,No
"Durham, NC",0.832740088,0.033142551,11631,0.888433295,0.853734259,1038,0.4946,0.534165381,0.353269338,0.112565281,Yes
"Eau Claire, WI",0.883793278,0.027998672,1914,0.937635422,0.868419263,769,0.4346,0.32607069,0.615446689,0.058482621,No
"El Centro--Calexico, CA",0.885993329,0.013389965,1005,0.939608082,0.819938121,811,0.4932,0.169681611,0.570426479,0.25989191,No
"Elizabethtown--Radcliff, KY",0.927616985,0.035438893,604,0.949459829,0.719897035,789,0.5033,0.236569864,0.692637137,0.070792999,No
"Elkhart, IN--MI",0.91702432,0.029875506,685,0.903782952,0.824529727,766,0.4301,0.195526035,0.610121322,0.194352642,No
"Elmira, NY",0.880232919,0.045067705,703,0.958264681,0.843446168,801,0.4414,0.255068394,0.633714128,0.111217478,No
"El Paso, TX--NM",0.896448135,0.014872957,4705,0.794994967,0.782645145,810,0.4777,0.219706403,0.556415866,0.223877731,No
"El Paso de Robles (Paso Robles)--Atascadero, CA",0.881373303,0.027386341,934,0.935196195,0.901343555,1325,0.4116,0.257577364,0.67272573,0.069696905,No
"Erie, PA",0.898963164,0.034431683,2154,0.94519369,0.812935839,738,0.4762,0.281911916,0.61626388,0.101824205,No
"Eugene, OR",0.809658847,0.051825291,2427,0.934959902,0.858361633,947,0.4797,0.337684175,0.587481723,0.074834102,No
"Evansville, IN--KY",0.928536284,0.018204774,2843,0.930231641,0.799573648,740,0.4837,0.290458774,0.605804157,0.103737069,No
"Fairfield, CA",0.912016074,0.00937641,1180,0.961253812,0.90910854,1624,0.4384,0.270240563,0.588876327,0.14088311,Yes
"Fargo, ND--MN",0.892307435,0.034278357,4033,0.938843365,0.856611172,792,0.4441,0.406012778,0.550401695,0.043585526,No
"Fayetteville, NC",0.870455545,0.06483222,1907,0.898451411,0.849037739,876,0.4365,0.251537102,0.652761805,0.095701093,Yes
"Fayetteville--Springdale--Rogers, AR--MO",0.942847592,0.014444985,6968,0.892216041,0.710333496,820,0.4688,0.359083024,0.496511606,0.14440537,No
"Flagstaff, AZ",0.822591604,0.104149478,934,0.915963298,0.825920559,1291,0.4892,0.473475517,0.484197931,0.042326553,No
"Flint, MI",0.936948743,0.012945776,3398,0.933846268,0.747630687,727,0.4812,0.213004846,0.695676829,0.091318325,No
"Florence, AL",0.958006687,0.007291907,120,0.884735744,0.779110633,671,0.4653,0.269559858,0.632368936,0.098071206,No
"Florence, SC",0.900582066,0.013041236,613,0.910583384,0.799950503,751,0.4768,0.278683901,0.565656091,0.155660008,No
"Fort Collins, CO",0.821077758,0.022653849,6980,0.933758436,0.888805829,1239,0.4468,0.465251621,0.485792946,0.048955433,Yes
"Fort Smith, AR--OK",0.932810509,0.01527197,1153,0.882771207,0.758407905,639,0.4565,0.192264046,0.62421228,0.183523674,No
"Fort Walton Beach--Navarre--Wright, FL",0.905852937,0.018358531,2629,0.884462112,0.864525958,1135,0.4281,0.35657712,0.595521529,0.047901352,Yes
"Fort Wayne, IN",0.933089297,0.011982939,3395,0.923085307,0.858999515,737,0.4358,0.264411449,0.63133008,0.104258471,No
"Frederick, MD",0.889198942,0.024260284,4334,0.949658237,0.927920422,1395,0.3929,0.458654461,0.46119215,0.080153389,Yes
"Fredericksburg, VA",0.862378625,0.028517432,3900,0.922564673,0.925180832,1325,0.4025,0.383754654,0.536664707,0.079580639,Yes
"Fresno, CA",0.919150655,0.011398363,5246,0.930009698,0.829055782,985,0.4813,0.23482812,0.561596994,0.203574886,No
"Gainesville, FL",0.793824572,0.049520145,2601,0.918726858,0.874849822,962,0.5424,0.444640345,0.490619952,0.064739704,No
"Gainesville, GA",0.917411647,0.008466316,766,0.791881904,0.86290411,900,0.4771,0.239784665,0.510646527,0.249568808,No
"Gastonia, NC--SC",0.944234405,0.01387051,2135,0.901416683,0.783197755,790,0.4543,0.216442189,0.634938652,0.14861916,No
"Gilroy--Morgan Hill, CA",0.891082393,0.022347565,1806,0.955904016,0.894865526,1709,0.4505,0.315686929,0.538399947,0.145913125,No
"Grand Forks, ND--MN",0.867684256,0.056141881,723,0.927351218,0.746697854,729,0.5051,0.339791204,0.598003931,0.062204865,No
"Grand Junction, CO",0.894199622,0.039411527,321,0.92054659,0.845744086,923,0.4633,0.241730309,0.669041377,0.089228314,No
"Grand Rapids, MI",0.904312544,0.020494218,10440,0.944766247,0.859561235,885,0.435,0.368933607,0.537846011,0.093220382,No
