Urban area,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,College,High school,No high school,Has rapid transit
"Pensacola, FL--AL",0.888695693,0.025981579,2759,0.895143897,0.842292867,962,0.4425,0.269357577,0.636980153,0.093662271,No
"Peoria, IL",0.918530635,0.029301945,3436,0.946929206,0.785990329,732,0.4806,0.306135094,0.589564933,0.104299973,No
"Petaluma, CA",0.840326625,0.040400024,772,0.970493618,0.887190805,1869,0.4315,0.3780799,0.502886425,0.119033675,No
"Philadelphia, PA--NJ--DE--MD",0.793894861,0.037728845,103380,0.947275595,0.824533888,1079,0.5005,0.379659274,0.528597865,0.091742861,Yes
"Phoenix--Mesa, AZ",0.87217921,0.016309935,58532,0.895630457,0.868567204,1089,0.4639,0.321986597,0.555588555,0.122424848,Yes
"Pittsburgh, PA",0.829074202,0.035957766,35924,0.965533967,0.82948156,826,0.4769,0.390312629,0.554674577,0.055012793,Yes
"Pocatello, ID",0.869509478,0.036964684,689,0.922897559,0.838528936,690,0.4439,0.310523928,0.622522114,0.066953958,No
"Port Arthur, TX",0.939750787,0.015592907,437,0.777757971,0.741905782,792,0.4779,0.13754313,0.71180224,0.15065463,No
"Porterville, CA",0.941977237,0.023283493,112,0.937669301,0.837712441,964,0.4946,0.098616833,0.562219512,0.339163656,No
"Port Huron, MI",0.938071576,0.018554739,272,0.943918911,0.810630689,773,0.4635,0.203540115,0.714825884,0.081634001,No
"Portland, ME",0.823968877,0.070758452,3306,0.930718505,0.863793413,1070,0.4601,0.468403091,0.46636188,0.065235029,Yes
"Portland, OR--WA",0.780164523,0.033865632,46456,0.93592861,0.901951586,1254,0.4463,0.426519969,0.501701118,0.071778914,Yes
"Port St. Lucie, FL",0.904922665,0.019330935,1708,0.882155019,0.858615825,1164,0.4749,0.245515066,0.630948464,0.12353647,No
"Portsmouth, NH--ME",0.876930786,0.026361081,2059,0.964511253,0.894506949,1252,0.4784,0.534389887,0.420711773,0.04489834,No
"Pottstown, PA",0.905984956,0.02530713,1856,0.96835961,0.843939112,954,0.4344,0.313417826,0.604620879,0.081961295,No
"Poughkeepsie--Newburgh, NY--NJ",0.842291728,0.043535456,5862,0.955617228,0.844198754,1172,0.4404,0.337584195,0.570660598,0.091755207,Yes
"Prescott Valley--Prescott, AZ",0.88425522,0.019659164,609,0.94342122,0.863594879,979,0.4236,0.268623858,0.634687961,0.09668818,No
"Providence, RI--MA",0.891424363,0.034013053,16903,0.955985877,0.836692098,914,0.4699,0.321992428,0.553383975,0.124623598,Yes
"Provo--Orem, UT",0.846106534,0.039488994,15361,0.924125894,0.856555037,1017,0.4116,0.423496323,0.519878622,0.056625055,Yes
"Pueblo, CO",0.946229892,0.015018429,590,0.925217027,0.770975016,775,0.4588,0.203187003,0.700601966,0.09621103,No
"Racine, WI",0.918849249,0.010955599,1546,0.945945734,0.856851728,794,0.4513,0.254302213,0.645113422,0.100584365,No
"Raleigh, NC",0.874049634,0.010937097,42711,0.907018406,0.928191687,1112,0.4231,0.522578567,0.401864683,0.075556751,Yes
"Rapid City, SD",0.911473961,0.02267811,577,0.878875391,0.82598407,826,0.449,0.285996123,0.634763514,0.079240363,No
"Reading, PA",0.877482918,0.032536151,2602,0.946611407,0.836674552,863,0.4469,0.228994607,0.618659549,0.152345844,Yes
"Redding, CA",0.865083607,0.021245323,821,0.937103054,0.838670558,991,0.4895,0.227686924,0.678699001,0.093614074,No
"Reno, NV--CA",0.896295203,0.022856932,4009,0.899444311,0.826695595,967,0.4509,0.306578481,0.584153114,0.109268406,No
"Richmond, VA",0.890442134,0.019447006,23185,0.909060155,0.851262611,1062,0.4583,0.393958256,0.5064231,0.099618644,Yes
"Riverside--San Bernardino, CA",0.90575542,0.01600273,13370,0.913741341,0.857559992,1272,0.4283,0.199044556,0.579656836,0.221298608,Yes
"Roanoke, VA",0.878897446,0.038009289,2119,0.918708698,0.796277841,818,0.4767,0.286078698,0.601106692,0.112814609,Yes
"Rochester, MN",0.817595728,0.047001172,2576,0.967896852,0.877891811,981,0.4278,0.471239219,0.481339202,0.047421579,No
"Rochester, NY",0.891947574,0.029398512,12896,0.96489537,0.828547907,902,0.4722,0.372862975,0.531152319,0.095984706,Yes
"Rockford, IL",0.915570242,0.012808464,2966,0.94106875,0.835041708,772,0.4524,0.218195817,0.657114216,0.124689967,No
"Rock Hill, SC",0.932465699,0.016044346,1489,0.912309763,0.893027888,924,0.4534,0.323901517,0.581513465,0.094585018,No
"Round Lake Beach--McHenry--Grayslake, IL--WI",0.906453446,0.006542575,6799,0.953926289,0.911385504,1181,0.4045,0.316961228,0.609568737,0.073470034,Yes
"Sacramento, CA",0.870959802,0.016141173,38256,0.947687782,0.889295854,1246,0.4598,0.32366094,0.565239963,0.111099098,Yes
"Saginaw, MI",0.910602344,0.020902782,699,0.940475881,0.753382379,750,0.479,0.188644101,0.683549613,0.127806286,No
"St. Augustine, FL",0.884351166,0.028073782,680,0.876931609,0.797088649,1088,0.4931,0.33274,0.577284475,0.089975525,No
"St. Cloud, MN",0.903308051,0.030546959,1009,0.964267574,0.86586441,775,0.4383,0.346733814,0.575135307,0.078130879,No
"St. George, UT",0.87211999,0.011379153,761,0.879949857,0.852288755,966,0.4969,0.268882677,0.634828817,0.096288506,No
"St. Joseph, MO--KS",0.902170615,0.033207381,486,0.902580185,0.718078218,728,0.4556,0.181050292,0.700490877,0.118458831,No
"St. Louis, MO--IL",0.891007273,0.017216256,41140,0.932799211,0.849858263,884,0.4752,0.379087008,0.54479408,0.076118912,Yes
"Salem, OR",0.883796219,0.02073528,2973,0.914056561,0.874894913,974,0.4326,0.262464274,0.593480588,0.144055138,No
"Salinas, CA",0.811367109,0.013142118,774,0.879496781,0.85966965,1366,0.402,0.170468177,0.471381568,0.358150255,No
"Salisbury, MD--DE",0.896503525,0.024399268,1159,0.912870554,0.799718885,912,0.4463,0.286943821,0.560019475,0.153036704,No
"Salt Lake City--West Valley City, UT",0.863406116,0.02092947,26447,0.89866118,0.882209483,1069,0.4298,0.357382274,0.551354642,0.091263084,Yes
"San Angelo, TX",0.896670814,0.039684242,860,0.863937777,0.753376717,815,0.4562,0.229424139,0.661287142,0.109288719,No
"San Antonio, TX",0.89933659,0.014843406,30478,0.851887743,0.817393624,961,0.4639,0.284279109,0.570617829,0.145103062,No
"San Diego, CA",0.849449112,0.023998639,59462,0.923396276,0.902699667,1599,0.4647,0.391053849,0.484299646,0.124646505,Yes
"San Francisco--Oakland, CA",0.628258024,0.0602216,134373,0.952783171,0.891655596,1833,0.4877,0.49640319,0.382669568,0.120927243,Yes
"San Jose, CA",0.844481537,0.022255221,115374,0.958850143,0.920139605,2246,0.4585,0.528691875,0.357337379,0.113970746,Yes
"San Marcos, TX",0.855694817,0.082810016,628,0.827543407,0.747204648,946,0.412,0.362115814,0.495531671,0.142352515,No
"Santa Barbara, CA",0.745219269,0.081015193,5000,0.936238034,0.874220526,1836,0.4899,0.508577817,0.387023401,0.104398782,No
"Santa Clarita, CA",0.86315392,0.015442588,3966,0.948365468,0.936934929,1826,0.4025,0.372825466,0.545710357,0.081464176,Yes
"Santa Cruz, CA",0.778100105,0.048500232,4037,0.946996995,0.905069452,1798,0.4754,0.480387246,0.459617245,0.059995509,No
"Santa Fe, NM",0.913682702,0.022168797,821,0.862575888,0.818944159,997,0.453,0.39446992,0.497266847,0.108263233,No
"Santa Maria, CA",0.910982752,0.011295628,703,0.850364153,0.877243415,1359,0.3941,0.150430951,0.51225896,0.33731009,No
"Santa Rosa, CA",0.867023792,0.020761784,4134,0.939128137,0.900132286,1597,0.4353,0.349757586,0.54652811,0.103714304,No
"Sarasota--Bradenton, FL",0.887994534,0.011646775,3238,0.88886473,0.842290586,1158,0.4848,0.33770011,0.578914221,0.08338567,No
"Saratoga Springs, NY",0.87171885,0.034121406,495,0.977484834,0.890491153,1109,0.454,0.498281787,0.443014295,0.058703918,No
"Savannah, GA",0.876462254,0.029827385,1214,0.8476826,0.853003101,1023,0.475,0.320556766,0.562852383,0.116590851,No
"Scranton, PA",0.908729333,0.028010149,3864,0.956348443,0.780450381,759,0.4674,0.258751095,0.64618188,0.095067025,Yes
"Seaside--Monterey, CA",0.814831577,0.043576647,1904,0.928696287,0.893532383,1696,0.4288,0.419697344,0.474372994,0.105929662,No
"Seattle, WA",0.769798295,0.040235442,133462,0.943061696,0.909605784,1451,0.4568,0.438090159,0.487689472,0.074220369,Yes
"Sebastian--Vero Beach South--Florida Ridge, FL",0.889964169,0.0046868,865,0.905541281,0.809620719,934,0.5101,0.300891011,0.611191833,0.087917157,No
"Sheboygan, WI",0.891152597,0.029734848,727,0.939520348,0.843819969,714,0.4311,0.249065824,0.676836529,0.074097647,No
"Sherman, TX",0.930896105,0.02566085,347,0.822754639,0.787497455,871,0.4741,0.199159523,0.65953535,0.141305126,No
"Shreveport, LA",0.937882736,0.008633001,2159,0.923966667,0.640729499,804,0.5043,0.233007882,0.638571065,0.128421053,No
"Simi Valley, CA",0.900668087,0.011102744,2560,0.961474363,0.9136984,1935,0.3977,0.331998695,0.572177297,0.095824008,Yes
"Sioux City, IA--NE--SD",0.932084354,0.019255629,730,0.912600906,0.756489341,746,0.4414,0.214793448,0.593327348,0.191879204,No
"Sioux Falls, SD",0.921621115,0.017363136,3613,0.946170676,0.86438111,779,0.4377,0.335228971,0.607509115,0.057261914,No
"Slidell, LA",0.913351684,0.006016906,528,0.915770467,0.855049269,1034,0.4564,0.257580227,0.631658308,0.110761465,No
"South Bend, IN--MI",0.897861074,0.033241212,1880,0.91666883,0.803071692,774,0.4703,0.284657022,0.595662867,0.119680111,No
"South Lyon--Howell, MI",0.912271695,0.019057842,2656,0.972270336,0.909748079,1052,0.4151,0.438963025,0.524738429,0.036298546,No
"Spartanburg, SC",0.94309536,0.014737736,1430,0.895515176,0.793452661,801,0.4712,0.271891859,0.606678046,0.121430095,No
"Spokane, WA",0.883993327,0.023713589,3376,0.943641054,0.873481248,866,0.4589,0.306103712,0.628792348,0.065103939,No
"Springfield, IL",0.909533576,0.015256368,2885,0.96032491,0.796806845,795,0.4732,0.348076755,0.576053623,0.075869622,Yes
"Springfield, MA--CT",0.872579192,0.047393776,5731,0.968096441,0.811867195,925,0.4743,0.309592811,0.561241071,0.129166118,No
"Springfield, MO",0.909514879,0.033116314,4170,0.904096658,0.780598793,748,0.4622,0.326488695,0.590337989,0.083173316,No
"Springfield, OH",0.903735514,0.048889256,571,0.940115281,0.831557011,680,0.4549,0.184201505,0.676145283,0.139653213,No
"Spring Hill, FL",0.895634096,0.003135828,946,0.86937547,0.833092002,963,0.4221,0.183877499,0.704252088,0.111870413,No
"State College, PA",0.623666085,0.133173263,2583,0.971184644,0.851820088,985,0.5174,0.656503891,0.299131959,0.044364149,No
"Stockton, CA",0.93399964,0.008598956,1896,0.926148792,0.79777179,1052,0.4833,0.176481721,0.603777078,0.2197412,Yes
"Syracuse, NY",0.863031562,0.043155819,5261,0.96195358,0.775793917,835,0.4553,0.343380786,0.561763384,0.09485583,No
"Tallahassee, FL",0.89309752,0.029736252,5885,0.92494364,0.897018784,1028,0.4914,0.485736154,0.466742311,0.047521535,No
"Tampa--St. Petersburg, FL",0.878964855,0.012840885,41295,0.879129403,0.85125193,1087,0.4815,0.315497059,0.58784982,0.096653122,Yes
"Temple, TX",0.93166052,0.013479101,647,0.899014948,0.841220758,865,0.4219,0.30347923,0.607068313,0.089452457,No
"Terre Haute, IN",0.912245827,0.046751132,820,0.94323703,0.828725994,726,0.4714,0.21285175,0.638040494,0.149107756,No
"Texarkana--Texarkana, TX--AR",0.951584064,0.00628597,543,0.885294361,0.72169627,677,0.5135,0.248605741,0.639460088,0.11193417,No
"Texas City, TX",0.934416354,0.027610996,1351,0.839344144,0.796232052,945,0.4361,0.146365782,0.698496838,0.15513738,No
"Thousand Oaks, CA",0.862366115,0.010828077,3857,0.964057115,0.935278276,2091,0.4676,0.511122971,0.435227731,0.053649298,No
"Toledo, OH--MI",0.912942613,0.022614687,4176,0.94044135,0.826784026,705,0.4779,0.274734868,0.617643242,0.10762189,No
"Topeka, KS",0.931135542,0.024718009,3711,0.922264732,0.716309579,784,0.4048,0.340297273,0.597165174,0.062537553,No
"Tracy, CA",0.931694598,0.009337672,875,0.948870295,0.955161855,1695,0.4037,0.219215757,0.642380725,0.138403518,No
"Trenton, NJ",0.865618888,0.03083962,6700,0.907948866,0.781829384,1212,0.4716,0.350579028,0.520345046,0.129075926,Yes
"Tucson, AZ",0.861614724,0.026216157,9720,0.912851731,0.864946924,879,0.4787,0.331936089,0.555132882,0.112931029,Yes
"Tulsa, OK",0.925674441,0.012453517,8736,0.870547544,0.846108029,840,0.4694,0.306547664,0.591754714,0.101697622,No
"Turlock, CA",0.898784828,0.023166186,514,0.928384481,0.870624093,1112,0.458,0.19529816,0.577700768,0.227001072,No
"Tuscaloosa, AL",0.945278227,0.021765566,1221,0.936256108,0.794803798,828,0.4547,0.371459756,0.497332635,0.131207609,No
"Tyler, TX",0.923837191,0.008869009,911,0.817364066,0.882995512,893,0.4622,0.277895531,0.577175324,0.144929145,No
"Urban Honolulu, HI",0.771837719,0.065812821,8794,0.967852661,0.857719803,1676,0.4432,0.342463297,0.574538791,0.082997911,No
"Utica, NY",0.874277342,0.036825849,2023,0.94952415,0.797035323,727,0.473,0.251277953,0.60587034,0.142851707,No
"Vacaville, CA",0.933980164,0.009788702,845,0.953625785,0.921282464,1587,0.4002,0.218876275,0.644712609,0.136411116,No
"Valdosta, GA",0.959018111,0.004220925,1180,0.822828993,0.497196587,770,0.5583,0.306450154,0.541003257,0.152546589,No
"Vallejo, CA",0.879862131,0.014357319,2065,0.949233258,0.906119564,1512,0.4503,0.304430031,0.57994854,0.115621429,Yes
"Victoria, TX",0.918270284,0.01048218,432,0.820935742,0.721490958,903,0.4508,0.200788484,0.615865958,0.183345558,No
"Victorville--Hesperia, CA",0.920172028,0.005815617,1834,0.939489453,0.88802509,1141,0.4422,0.11915085,0.677840947,0.203008202,No
"Vineland, NJ",0.944435548,0.014914789,538,0.916916863,0.815820509,943,0.435,0.204545103,0.620658715,0.174796182,No
"Virginia Beach, VA",0.888835372,0.038635333,26859,0.909353952,0.847580173,1129,0.4442,0.317123575,0.599399237,0.083477187,Yes
"Visalia, CA",0.920176049,0.011490912,1099,0.926873595,0.814041091,947,0.445,0.182946597,0.60977758,0.207275823,No
"Waco, TX",0.920004803,0.025,699,0.846465001,0.775750275,831,0.4951,0.259122432,0.557808579,0.183068989,Yes
"Waldorf, MD",0.890868902,0.007025239,5005,0.966850325,0.910238362,1728,0.3662,0.330152374,0.598081023,0.071766603,Yes
"Warner Robins, GA",0.944851923,0.018314644,2629,0.863217353,0.858869163,893,0.4299,0.298446452,0.637519341,0.064034207,No
"Washington, DC--VA--MD",0.728710415,0.03672846,224151,0.920076405,0.90535379,1664,0.4482,0.53467564,0.370914493,0.094409867,Yes
"Waterbury, CT",0.905316473,0.015838014,1428,0.937236026,0.780406469,959,0.4554,0.230552131,0.607111566,0.162336303,No
"Waterloo, IA",0.903753047,0.03471483,1265,0.947232671,0.796299998,738,0.4603,0.279217247,0.611958887,0.108823866,No
"Watsonville, CA",0.834501851,0.036349412,189,0.935187081,0.788346231,1359,0.4402,0.111208771,0.509552667,0.379238562,No
"Wausau, WI",0.915608053,0.026075329,1194,0.943618331,0.852977425,679,0.4823,0.284983908,0.636285057,0.078731034,No
"Weirton--Steubenville, WV--OH--PA",0.924914889,0.025767561,191,0.94321727,0.823836852,675,0.4174,0.191459464,0.740817362,0.067723174,No
"Wenatchee, WA",0.900320676,0.016003836,522,0.914205067,0.836655998,894,0.4172,0.2462626,0.617439774,0.136297625,No
"West Bend, WI",0.932019165,0.026721424,683,0.959580176,0.847277323,836,0.3911,0.271108618,0.678239009,0.050652373,No
"Westminster--Eldersburg, MD",0.920123542,0.022285532,1899,0.967516256,0.895966745,1121,0.4316,0.426971869,0.482479998,0.090548133,No
"Wheeling, WV--OH",0.923191625,0.041782052,433,0.921282683,0.698768837,610,0.4692,0.226750076,0.687803231,0.085446694,No
"Wichita, KS",0.934910469,0.014255217,6064,0.899043945,0.82980611,798,0.4533,0.314597082,0.582215049,0.103187869,No
"Wichita Falls, TX",0.807499244,0.104384639,576,0.824601036,0.754594129,769,0.474,0.235800116,0.654611751,0.109588133,No
"Williamsburg, VA",0.87511346,0.041326285,1209,0.93876073,0.843842462,1138,0.4323,0.505513775,0.436980259,0.057505966,No
"Wilmington, NC",0.889130134,0.01154725,2134,0.900965173,0.824311211,940,0.4909,0.392805641,0.527778253,0.079416107,No
"Winchester, VA",0.869728521,0.068822668,1164,0.901644207,0.804262823,992,0.3824,0.299808247,0.561202773,0.138988979,No
"Winston-Salem, NC",0.916400838,0.016755276,5967,0.894911719,0.832741571,761,0.504,0.331663806,0.557503337,0.110832857,No
"Winter Haven, FL",0.922579208,0.012261262,1100,0.859516686,0.587772339,878,0.4531,0.177507558,0.646225813,0.176266629,No
"Worcester, MA--CT",0.869474617,0.032027541,9897,0.972937323,0.840355545,1004,0.4885,0.365354856,0.538574823,0.096070321,Yes
"Yakima, WA",0.920250942,0.018104639,641,0.904020897,0.819285596,788,0.4347,0.198686661,0.589186768,0.212126571,No
"York, PA",0.923985221,0.020067351,3166,0.940964677,0.819747143,949,0.4251,0.250716699,0.637667281,0.11161602,No
"Youngstown, OH--PA",0.934073012,0.014757794,2483,0.942226689,0.785423854,657,0.4747,0.218761972,0.688922691,0.092315337,No
"Yuba City, CA",0.904182801,0.008127622,556,0.920324675,0.829513614,985,0.4049,0.16592589,0.618311519,0.215762591,No
"Yuma, AZ--CA",0.939473587,0.017884057,399,0.912705164,0.823097181,900,0.4545,0.153963668,0.626913752,0.21912258,No
"Zephyrhills, FL",0.882918122,0.027646969,515,0.878839974,0.719155439,785,0.4507,0.153218337,0.669655184,0.177126479,No
