listing_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
5858,98.0,10.0,10.0,10.0,10.0,10.0,9.0
8339,97.0,10.0,10.0,10.0,10.0,10.0,10.0
10820,89.0,9.0,9.0,10.0,9.0,9.0,9.0
12041,80.0,9.0,8.0,9.0,10.0,9.0,7.0
12522,98.0,10.0,10.0,10.0,10.0,10.0,10.0
12584,95.0,9.0,10.0,9.0,9.0,9.0,9.0
24723,96.0,10.0,10.0,10.0,10.0,10.0,10.0
25094,100.0,10.0,10.0,10.0,10.0,10.0,10.0
29373,98.0,10.0,10.0,10.0,10.0,9.0,10.0
32414,96.0,10.0,10.0,10.0,10.0,9.0,9.0
33578,99.0,10.0,10.0,10.0,10.0,10.0,10.0
39174,95.0,9.0,10.0,10.0,10.0,10.0,9.0
39418,98.0,10.0,10.0,10.0,10.0,10.0,9.0
40092,92.0,10.0,10.0,10.0,10.0,9.0,9.0
41055,94.0,10.0,9.0,10.0,10.0,10.0,10.0
41172,98.0,10.0,10.0,10.0,10.0,10.0,10.0
41399,96.0,10.0,10.0,10.0,10.0,9.0,9.0
41609,99.0,10.0,10.0,10.0,10.0,10.0,10.0
42577,80.0,5.0,8.0,10.0,8.0,7.0,8.0
45299,94.0,10.0,9.0,10.0,10.0,10.0,9.0
45956,96.0,10.0,10.0,10.0,9.0,10.0,9.0
51773,92.0,10.0,9.0,10.0,10.0,10.0,9.0
54634,94.0,9.0,9.0,10.0,10.0,10.0,9.0
57479,99.0,10.0,10.0,10.0,10.0,10.0,10.0
62519,97.0,10.0,10.0,10.0,10.0,10.0,10.0
62651,96.0,10.0,10.0,10.0,10.0,10.0,9.0
63247,94.0,10.0,9.0,10.0,9.0,10.0,9.0
66664,79.0,8.0,8.0,9.0,10.0,9.0,8.0
69410,98.0,10.0,10.0,10.0,10.0,10.0,10.0
75423,88.0,9.0,8.0,9.0,9.0,8.0,9.0
77932,83.0,8.0,8.0,9.0,9.0,8.0,8.0
78651,95.0,9.0,9.0,10.0,10.0,10.0,10.0
84777,95.0,10.0,10.0,10.0,10.0,10.0,10.0
96383,94.0,10.0,9.0,10.0,10.0,10.0,10.0
114401,97.0,10.0,10.0,10.0,10.0,10.0,10.0
134193,94.0,10.0,9.0,9.0,10.0,9.0,9.0
138619,93.0,10.0,9.0,10.0,10.0,10.0,10.0
138772,98.0,10.0,9.0,10.0,10.0,10.0,10.0
148559,99.0,10.0,9.0,10.0,10.0,10.0,10.0
148769,92.0,9.0,8.0,10.0,9.0,10.0,9.0
149108,100.0,10.0,10.0,10.0,10.0,10.0,10.0
166771,97.0,10.0,10.0,10.0,10.0,10.0,10.0
177137,97.0,10.0,10.0,10.0,10.0,9.0,10.0
183859,97.0,10.0,10.0,10.0,10.0,10.0,10.0
199480,99.0,10.0,10.0,10.0,10.0,10.0,10.0
201313,100.0,10.0,10.0,10.0,10.0,10.0,10.0
207980,96.0,10.0,9.0,10.0,10.0,10.0,10.0
208831,96.0,10.0,10.0,10.0,10.0,10.0,10.0
209514,94.0,10.0,10.0,10.0,10.0,10.0,10.0
212265,100.0,10.0,10.0,10.0,10.0,10.0,10.0
216042,99.0,10.0,10.0,10.0,10.0,10.0,10.0
229240,93.0,10.0,9.0,10.0,10.0,10.0,9.0
231129,88.0,9.0,9.0,9.0,9.0,10.0,9.0
232060,98.0,10.0,10.0,10.0,10.0,10.0,9.0
232492,96.0,10.0,9.0,10.0,10.0,9.0,9.0
238204,95.0,10.0,10.0,10.0,10.0,10.0,10.0
241235,93.0,9.0,9.0,10.0,10.0,10.0,9.0
259621,92.0,10.0,9.0,10.0,10.0,10.0,9.0
269371,95.0,10.0,9.0,10.0,10.0,10.0,9.0
271647,91.0,9.0,9.0,10.0,10.0,9.0,9.0
286311,96.0,10.0,10.0,10.0,10.0,10.0,9.0
295240,98.0,10.0,10.0,10.0,10.0,10.0,10.0
308885,89.0,9.0,9.0,9.0,10.0,9.0,9.0
314368,99.0,10.0,10.0,10.0,10.0,10.0,9.0
317078,88.0,9.0,7.0,10.0,10.0,10.0,9.0
325478,97.0,10.0,9.0,10.0,10.0,10.0,9.0
330535,94.0,10.0,9.0,9.0,9.0,10.0,9.0
348580,92.0,9.0,8.0,9.0,10.0,9.0,9.0
350479,96.0,10.0,9.0,10.0,10.0,10.0,9.0
351978,83.0,8.0,8.0,9.0,9.0,8.0,8.0
374997,95.0,9.0,9.0,10.0,10.0,10.0,9.0
379418,96.0,10.0,9.0,10.0,10.0,10.0,10.0
400433,99.0,10.0,10.0,10.0,10.0,10.0,10.0
408471,96.0,9.0,9.0,10.0,10.0,10.0,9.0
415498,96.0,10.0,9.0,10.0,10.0,10.0,9.0
420160,97.0,10.0,10.0,10.0,10.0,10.0,10.0
424846,99.0,10.0,10.0,10.0,10.0,10.0,10.0
430692,98.0,10.0,9.0,10.0,10.0,10.0,10.0
438940,95.0,10.0,9.0,10.0,10.0,10.0,10.0
442349,98.0,10.0,10.0,10.0,10.0,10.0,10.0
468490,93.0,9.0,10.0,10.0,9.0,10.0,8.0
468751,94.0,10.0,9.0,10.0,10.0,10.0,9.0
474107,97.0,10.0,10.0,10.0,10.0,10.0,10.0
479415,95.0,10.0,9.0,10.0,10.0,10.0,9.0
482592,96.0,10.0,10.0,10.0,10.0,10.0,9.0
485286,95.0,10.0,9.0,10.0,10.0,10.0,9.0
487019,89.0,9.0,9.0,10.0,10.0,9.0,9.0
494111,93.0,10.0,9.0,10.0,10.0,10.0,10.0
496226,94.0,10.0,9.0,10.0,10.0,9.0,9.0
503362,99.0,10.0,10.0,10.0,10.0,9.0,9.0
515430,96.0,10.0,10.0,10.0,10.0,10.0,9.0
516836,97.0,10.0,10.0,10.0,10.0,10.0,10.0
519796,99.0,10.0,10.0,10.0,10.0,10.0,10.0
529275,93.0,9.0,9.0,10.0,10.0,10.0,9.0
531151,99.0,10.0,10.0,10.0,10.0,9.0,9.0
555596,97.0,10.0,10.0,10.0,10.0,10.0,10.0
576018,99.0,10.0,10.0,10.0,10.0,10.0,10.0
578097,100.0,10.0,10.0,10.0,10.0,10.0,10.0
582335,100.0,10.0,10.0,10.0,10.0,10.0,9.0
585225,95.0,10.0,10.0,10.0,10.0,10.0,9.0
594387,98.0,10.0,10.0,10.0,10.0,10.0,10.0
604221,93.0,10.0,9.0,10.0,10.0,8.0,8.0
604843,100.0,10.0,9.0,10.0,10.0,10.0,10.0
604999,90.0,9.0,9.0,10.0,10.0,9.0,9.0
616204,92.0,9.0,9.0,10.0,10.0,9.0,9.0
631635,95.0,10.0,9.0,10.0,10.0,10.0,10.0
631735,94.0,10.0,9.0,10.0,9.0,7.0,9.0
640605,97.0,9.0,10.0,10.0,10.0,10.0,9.0
644091,99.0,10.0,10.0,10.0,10.0,10.0,10.0
648086,96.0,10.0,10.0,10.0,10.0,10.0,10.0
662754,100.0,10.0,10.0,10.0,10.0,10.0,10.0
677207,99.0,10.0,9.0,10.0,10.0,10.0,10.0
687430,86.0,9.0,8.0,9.0,9.0,8.0,9.0
691023,99.0,10.0,10.0,10.0,10.0,10.0,10.0
720811,95.0,10.0,10.0,10.0,10.0,10.0,10.0
738547,94.0,10.0,9.0,10.0,10.0,10.0,9.0
741327,72.0,8.0,8.0,7.0,7.0,8.0,7.0
746079,97.0,10.0,10.0,10.0,10.0,10.0,10.0
748222,98.0,10.0,10.0,10.0,10.0,10.0,9.0
748256,98.0,10.0,10.0,10.0,10.0,10.0,10.0
752607,95.0,10.0,10.0,10.0,10.0,10.0,9.0
767506,96.0,10.0,9.0,10.0,10.0,10.0,9.0
779109,98.0,10.0,10.0,10.0,10.0,10.0,10.0
785901,93.0,10.0,9.0,10.0,10.0,10.0,10.0
792370,92.0,9.0,10.0,9.0,9.0,10.0,9.0
806199,99.0,10.0,10.0,10.0,10.0,10.0,9.0
810315,99.0,9.0,9.0,10.0,10.0,10.0,10.0
811374,94.0,8.0,8.0,10.0,10.0,10.0,10.0
829185,100.0,10.0,10.0,10.0,10.0,10.0,10.0
830330,93.0,10.0,10.0,10.0,10.0,10.0,9.0
830997,70.0,7.0,6.0,7.0,7.0,6.0,6.0
833149,88.0,9.0,8.0,10.0,9.0,10.0,8.0
837045,93.0,10.0,9.0,10.0,10.0,10.0,9.0
845502,93.0,9.0,10.0,8.0,9.0,10.0,9.0
851889,99.0,10.0,10.0,10.0,10.0,10.0,10.0
859336,97.0,10.0,10.0,10.0,10.0,10.0,9.0
862220,99.0,10.0,10.0,10.0,10.0,10.0,10.0
865873,96.0,10.0,9.0,10.0,10.0,10.0,9.0
870532,97.0,10.0,10.0,10.0,10.0,10.0,10.0
870705,97.0,10.0,10.0,10.0,10.0,10.0,10.0
878935,97.0,10.0,10.0,10.0,10.0,10.0,10.0
881105,93.0,10.0,10.0,10.0,9.0,10.0,9.0
884770,96.0,10.0,10.0,10.0,10.0,10.0,9.0
890875,91.0,9.0,9.0,10.0,10.0,10.0,9.0
905902,92.0,10.0,9.0,10.0,10.0,9.0,9.0
929468,95.0,10.0,10.0,10.0,10.0,10.0,9.0
930955,92.0,9.0,9.0,9.0,9.0,9.0,9.0
943851,100.0,10.0,10.0,10.0,9.0,9.0,9.0
945748,97.0,10.0,10.0,10.0,10.0,10.0,10.0
968046,95.0,9.0,10.0,10.0,10.0,9.0,9.0
980783,99.0,10.0,10.0,10.0,10.0,10.0,10.0
992530,90.0,9.0,8.0,9.0,10.0,10.0,8.0
992676,97.0,10.0,10.0,10.0,10.0,10.0,9.0
1003756,98.0,10.0,10.0,9.0,9.0,10.0,10.0
1011751,92.0,10.0,10.0,9.0,10.0,10.0,9.0
1015336,95.0,10.0,9.0,10.0,10.0,10.0,10.0
1016604,94.0,10.0,9.0,10.0,10.0,10.0,10.0
1017799,92.0,9.0,9.0,10.0,9.0,10.0,9.0
1037251,86.0,9.0,9.0,9.0,9.0,8.0,8.0
1069167,95.0,10.0,10.0,10.0,10.0,10.0,10.0
1076743,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1080408,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1083810,97.0,10.0,10.0,10.0,10.0,10.0,9.0
1084068,93.0,10.0,10.0,10.0,10.0,8.0,8.0
1098003,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1106534,95.0,10.0,10.0,10.0,10.0,9.0,10.0
1109534,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1110001,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1138420,96.0,10.0,10.0,10.0,9.0,10.0,9.0
1138764,99.0,10.0,9.0,10.0,10.0,10.0,9.0
1142101,91.0,9.0,9.0,10.0,10.0,9.0,9.0
1148625,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1150867,97.0,10.0,10.0,10.0,9.0,10.0,9.0
1151864,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1159284,95.0,10.0,10.0,10.0,10.0,10.0,10.0
1174214,97.0,10.0,10.0,10.0,10.0,10.0,9.0
1174758,100.0,10.0,10.0,10.0,10.0,10.0,9.0
1180103,93.0,9.0,9.0,10.0,10.0,9.0,9.0
1182465,96.0,10.0,9.0,10.0,10.0,10.0,10.0
1198464,93.0,10.0,10.0,10.0,10.0,10.0,10.0
1200068,98.0,10.0,10.0,10.0,10.0,9.0,10.0
1201159,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1202686,88.0,9.0,9.0,10.0,10.0,9.0,9.0
1203062,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1206184,86.0,9.0,8.0,10.0,10.0,10.0,9.0
1209893,96.0,10.0,10.0,9.0,10.0,10.0,9.0
1223704,96.0,10.0,9.0,10.0,10.0,9.0,9.0
1241029,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1247160,75.0,7.0,7.0,9.0,9.0,9.0,7.0
1247276,89.0,10.0,9.0,9.0,9.0,9.0,9.0
1249046,92.0,10.0,10.0,10.0,9.0,8.0,9.0
1281132,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1286943,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1290935,100.0,10.0,9.0,10.0,10.0,10.0,10.0
1292217,97.0,7.0,9.0,10.0,10.0,10.0,9.0
1299242,95.0,10.0,10.0,9.0,10.0,10.0,9.0
1304068,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1304808,95.0,10.0,10.0,10.0,10.0,10.0,9.0
1309496,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1317908,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1324086,98.0,10.0,10.0,9.0,10.0,10.0,9.0
1328186,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1332343,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1336450,95.0,10.0,9.0,10.0,10.0,9.0,9.0
1344243,92.0,10.0,10.0,10.0,10.0,10.0,9.0
1351626,93.0,10.0,10.0,10.0,9.0,9.0,9.0
1355744,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1356129,95.0,10.0,10.0,10.0,10.0,10.0,9.0
1391982,91.0,9.0,9.0,10.0,10.0,9.0,9.0
1392204,97.0,10.0,10.0,10.0,10.0,9.0,10.0
1405046,100.0,10.0,10.0,10.0,10.0,9.0,9.0
1407244,97.0,10.0,9.0,10.0,10.0,10.0,9.0
1408281,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1409218,97.0,10.0,10.0,10.0,10.0,9.0,9.0
1421937,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1429022,93.0,10.0,10.0,10.0,10.0,10.0,9.0
1433917,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1434425,97.0,10.0,9.0,10.0,10.0,10.0,9.0
1438864,97.0,10.0,10.0,10.0,10.0,10.0,9.0
1456153,95.0,10.0,10.0,10.0,10.0,9.0,9.0
1460174,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1466344,100.0,10.0,10.0,9.0,10.0,10.0,8.0
1472743,98.0,10.0,10.0,10.0,10.0,10.0,9.0
1478708,98.0,10.0,9.0,10.0,10.0,10.0,10.0
1482273,98.0,10.0,10.0,10.0,10.0,10.0,9.0
1525886,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1530745,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1537497,96.0,10.0,10.0,10.0,10.0,10.0,9.0
1598872,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1618782,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1633225,89.0,10.0,9.0,10.0,10.0,9.0,9.0
1633839,96.0,10.0,10.0,10.0,10.0,10.0,10.0
1633933,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1636810,96.0,10.0,10.0,10.0,10.0,9.0,9.0
1645724,88.0,9.0,9.0,10.0,10.0,8.0,9.0
1667732,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1671260,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1673011,99.0,10.0,10.0,10.0,10.0,10.0,9.0
1711075,100.0,8.0,10.0,10.0,10.0,8.0,6.0
1721354,100.0,10.0,10.0,10.0,10.0,10.0,9.0
1724819,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1725853,96.0,10.0,10.0,10.0,10.0,10.0,9.0
1738415,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1750093,97.0,10.0,10.0,10.0,10.0,10.0,10.0
1769688,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1774026,93.0,9.0,9.0,10.0,10.0,10.0,9.0
1778650,94.0,10.0,9.0,10.0,10.0,10.0,9.0
1827653,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1830541,98.0,10.0,10.0,10.0,10.0,10.0,10.0
1841832,95.0,10.0,10.0,10.0,10.0,10.0,9.0
1844117,98.0,9.0,9.0,10.0,10.0,10.0,10.0
1851403,93.0,9.0,9.0,9.0,10.0,9.0,9.0
1855096,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1857226,94.0,10.0,9.0,10.0,10.0,9.0,9.0
1887206,95.0,10.0,9.0,10.0,10.0,8.0,9.0
1906323,100.0,10.0,10.0,10.0,10.0,10.0,10.0
1907229,95.0,10.0,10.0,10.0,10.0,10.0,9.0
1925714,98.0,10.0,10.0,10.0,10.0,10.0,9.0
1931763,93.0,10.0,10.0,10.0,10.0,10.0,10.0
1932019,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1944564,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1970257,99.0,10.0,10.0,10.0,10.0,10.0,10.0
1985338,97.0,10.0,10.0,10.0,10.0,10.0,10.0
2023326,100.0,10.0,10.0,10.0,10.0,9.0,10.0
2042095,97.0,10.0,10.0,10.0,10.0,10.0,10.0
2047469,95.0,10.0,10.0,10.0,10.0,9.0,10.0
2063077,98.0,10.0,9.0,10.0,10.0,10.0,10.0
2074584,96.0,10.0,10.0,10.0,10.0,9.0,9.0
2088622,95.0,10.0,10.0,10.0,10.0,9.0,9.0
2104437,95.0,9.0,9.0,9.0,10.0,10.0,9.0
2124182,97.0,10.0,10.0,10.0,10.0,10.0,9.0
2126868,95.0,10.0,10.0,10.0,10.0,10.0,10.0
2130640,98.0,10.0,10.0,10.0,10.0,10.0,10.0
2134475,98.0,10.0,10.0,10.0,10.0,10.0,9.0
2135871,96.0,10.0,9.0,10.0,10.0,10.0,10.0
2139562,92.0,10.0,9.0,10.0,10.0,10.0,9.0
2160504,97.0,10.0,10.0,10.0,10.0,10.0,10.0
2175930,98.0,10.0,10.0,10.0,10.0,10.0,10.0
2178509,98.0,10.0,10.0,10.0,10.0,10.0,10.0
2202505,91.0,10.0,8.0,10.0,10.0,10.0,9.0
2203283,96.0,10.0,9.0,10.0,10.0,10.0,9.0
2221057,98.0,10.0,10.0,10.0,10.0,10.0,10.0
2272343,95.0,10.0,9.0,10.0,10.0,10.0,9.0
2302408,97.0,10.0,10.0,10.0,10.0,10.0,10.0
2340335,95.0,9.0,10.0,10.0,10.0,9.0,9.0
2362619,97.0,10.0,10.0,10.0,10.0,10.0,10.0
2374267,100.0,10.0,10.0,10.0,10.0,10.0,10.0
2387068,97.0,10.0,10.0,10.0,10.0,10.0,10.0
2391772,87.0,9.0,8.0,9.0,9.0,10.0,8.0
2412158,93.0,10.0,9.0,10.0,10.0,10.0,9.0
2460904,93.0,10.0,9.0,10.0,10.0,9.0,10.0
2465543,97.0,10.0,10.0,10.0,10.0,10.0,10.0
2488520,99.0,10.0,10.0,10.0,10.0,9.0,10.0
2502368,97.0,10.0,10.0,10.0,10.0,9.0,9.0
2516026,93.0,10.0,10.0,9.0,10.0,10.0,9.0
2532756,82.0,9.0,9.0,9.0,9.0,9.0,8.0
2545771,100.0,10.0,10.0,10.0,10.0,10.0,10.0
2551994,97.0,9.0,10.0,10.0,10.0,10.0,9.0
2558763,98.0,10.0,10.0,10.0,10.0,10.0,10.0
2594714,93.0,10.0,9.0,9.0,9.0,9.0,9.0
2657854,88.0,10.0,9.0,9.0,9.0,10.0,10.0
2683857,95.0,10.0,10.0,10.0,10.0,9.0,9.0
2723005,99.0,10.0,10.0,10.0,10.0,10.0,9.0
2738331,93.0,10.0,9.0,10.0,10.0,10.0,9.0
2747383,96.0,10.0,10.0,10.0,10.0,10.0,9.0
2802418,95.0,10.0,10.0,10.0,10.0,10.0,9.0
2802480,95.0,10.0,10.0,10.0,10.0,10.0,9.0
2804417,99.0,10.0,10.0,10.0,10.0,9.0,9.0
2816626,100.0,10.0,10.0,10.0,10.0,10.0,10.0
2823227,96.0,10.0,10.0,10.0,10.0,10.0,10.0
2890120,96.0,10.0,9.0,10.0,10.0,10.0,9.0
2933105,98.0,10.0,10.0,10.0,10.0,10.0,10.0
2942149,98.0,10.0,10.0,10.0,10.0,10.0,10.0
2950592,100.0,10.0,10.0,10.0,10.0,9.0,10.0
2970253,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3013427,98.0,10.0,10.0,10.0,10.0,10.0,10.0
3013520,87.0,10.0,9.0,10.0,10.0,9.0,9.0
3015450,97.0,10.0,10.0,10.0,10.0,10.0,10.0
3028924,99.0,10.0,10.0,10.0,10.0,9.0,10.0
3042811,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3043102,94.0,10.0,10.0,10.0,10.0,10.0,9.0
3068285,60.0,10.0,10.0,6.0,8.0,10.0,6.0
3079929,99.0,10.0,10.0,10.0,10.0,10.0,10.0
3081324,94.0,10.0,9.0,10.0,10.0,9.0,9.0
3081560,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3105361,96.0,10.0,9.0,10.0,10.0,10.0,9.0
3112427,97.0,10.0,10.0,10.0,10.0,10.0,10.0
3115424,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3116428,96.0,10.0,10.0,10.0,10.0,10.0,9.0
3133266,98.0,10.0,10.0,10.0,10.0,10.0,9.0
3157463,99.0,10.0,10.0,10.0,10.0,10.0,10.0
3157541,96.0,10.0,10.0,10.0,10.0,10.0,10.0
3183280,99.0,10.0,10.0,10.0,10.0,10.0,9.0
3200431,96.0,10.0,9.0,10.0,10.0,10.0,9.0
3205059,96.0,10.0,10.0,10.0,10.0,10.0,9.0
3218306,98.0,10.0,10.0,10.0,10.0,10.0,10.0
3221082,96.0,10.0,10.0,10.0,10.0,10.0,10.0
3256704,85.0,9.0,9.0,9.0,9.0,9.0,9.0
3262216,100.0,10.0,10.0,10.0,10.0,9.0,10.0
3292643,99.0,10.0,10.0,10.0,10.0,10.0,9.0
3319447,97.0,10.0,10.0,10.0,10.0,10.0,9.0
3324760,96.0,9.0,10.0,10.0,10.0,10.0,9.0
3354004,91.0,10.0,9.0,10.0,9.0,10.0,9.0
3376512,97.0,10.0,10.0,10.0,10.0,9.0,9.0
3384413,96.0,10.0,10.0,10.0,10.0,10.0,9.0
3402610,98.0,10.0,10.0,10.0,10.0,10.0,9.0
3441949,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3442439,99.0,10.0,10.0,10.0,10.0,10.0,10.0
3476601,100.0,9.0,10.0,10.0,10.0,10.0,9.0
3482655,93.0,10.0,10.0,9.0,10.0,10.0,9.0
3522990,98.0,10.0,10.0,10.0,10.0,10.0,10.0
3563261,94.0,10.0,10.0,10.0,10.0,10.0,9.0
3712976,98.0,10.0,10.0,10.0,10.0,10.0,10.0
3719923,99.0,10.0,10.0,10.0,10.0,10.0,10.0
3759246,94.0,10.0,10.0,10.0,10.0,10.0,10.0
3780418,98.0,10.0,10.0,10.0,10.0,9.0,9.0
3791003,93.0,9.0,9.0,10.0,10.0,10.0,9.0
3811916,97.0,10.0,10.0,10.0,10.0,10.0,10.0
3812931,99.0,10.0,10.0,10.0,10.0,10.0,10.0
3852803,99.0,10.0,10.0,10.0,10.0,10.0,10.0
3862478,100.0,10.0,10.0,10.0,10.0,10.0,10.0
3877462,99.0,10.0,10.0,10.0,10.0,10.0,10.0
3896205,95.0,10.0,10.0,10.0,10.0,10.0,9.0
3944915,84.0,8.0,9.0,9.0,10.0,9.0,9.0
3962831,97.0,10.0,10.0,10.0,10.0,10.0,9.0
3994686,97.0,10.0,10.0,10.0,10.0,10.0,9.0
4013746,97.0,10.0,9.0,10.0,10.0,9.0,9.0
4023249,92.0,10.0,10.0,10.0,10.0,10.0,9.0
4023585,91.0,9.0,8.0,10.0,9.0,8.0,8.0
4026354,93.0,9.0,10.0,10.0,10.0,10.0,9.0
4037590,100.0,10.0,10.0,10.0,10.0,10.0,8.0
4075971,98.0,10.0,10.0,10.0,10.0,9.0,10.0
4077186,94.0,10.0,10.0,10.0,10.0,9.0,9.0
4093807,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4093967,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4097700,98.0,10.0,10.0,10.0,10.0,10.0,9.0
4100473,95.0,10.0,9.0,10.0,10.0,10.0,9.0
4122671,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4135201,98.0,10.0,10.0,10.0,10.0,10.0,9.0
4242823,96.0,10.0,10.0,10.0,10.0,10.0,10.0
4250927,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4259418,87.0,9.0,9.0,9.0,9.0,9.0,9.0
4319230,100.0,10.0,9.0,10.0,10.0,10.0,10.0
4358868,100.0,10.0,10.0,10.0,10.0,10.0,9.0
4372435,94.0,10.0,9.0,10.0,10.0,9.0,9.0
4402199,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4416566,91.0,10.0,9.0,9.0,9.0,9.0,9.0
4483550,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4493744,96.0,10.0,10.0,10.0,10.0,9.0,9.0
4510968,88.0,10.0,9.0,10.0,9.0,10.0,9.0
4517932,97.0,10.0,10.0,10.0,10.0,10.0,9.0
4525604,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4527553,98.0,10.0,10.0,10.0,10.0,10.0,9.0
4533440,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4558898,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4576288,92.0,9.0,9.0,10.0,10.0,10.0,9.0
4576349,85.0,10.0,9.0,10.0,10.0,10.0,9.0
4597675,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4614763,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4624467,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4638678,88.0,9.0,10.0,10.0,9.0,10.0,10.0
4663060,96.0,10.0,10.0,10.0,10.0,10.0,10.0
4677343,100.0,10.0,9.0,10.0,10.0,10.0,9.0
4678599,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4718531,99.0,10.0,10.0,10.0,10.0,10.0,10.0
4718629,94.0,10.0,9.0,10.0,10.0,10.0,9.0
4719139,100.0,10.0,9.0,10.0,10.0,10.0,10.0
4721013,90.0,10.0,9.0,9.0,10.0,10.0,9.0
4728615,88.0,9.0,9.0,10.0,9.0,10.0,10.0
4760192,95.0,9.0,9.0,10.0,10.0,9.0,9.0
4773944,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4774742,97.0,10.0,10.0,10.0,10.0,10.0,10.0
4832436,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4863182,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4896087,93.0,10.0,10.0,10.0,10.0,10.0,9.0
4897595,97.0,9.0,10.0,10.0,10.0,10.0,10.0
4902907,89.0,10.0,9.0,10.0,10.0,9.0,9.0
4909117,91.0,9.0,10.0,10.0,10.0,9.0,9.0
4957143,99.0,10.0,10.0,10.0,10.0,10.0,10.0
