Wife ID, Husband education, Husband occupation, Standard-of-living, Media exposure
24845,4,1,1,0
29034,4,1,3,0
27904,4,2,4,0
20846,4,2,4,0
19528,4,1,4,0
11649,3,3,3,0
24963,4,1,4,0
13142,3,2,1,0
28202,4,1,4,0
16355,4,1,4,0
27273,4,1,4,0
23217,3,2,4,0
13011,2,3,1,1
14268,4,1,4,0
27927,4,1,4,0
27798,4,1,4,0
15093,4,1,3,0
18196,3,2,3,1
26491,4,1,4,0
10980,4,1,4,0
25672,4,1,3,0
26734,4,3,4,0
20231,3,3,4,0
28678,4,2,2,0
19979,4,3,1,0
24337,3,3,1,0
24202,4,3,3,0
15922,4,2,3,0
11824,4,3,4,0
26256,3,3,4,0
16877,4,1,3,0
10983,3,2,1,0
21814,2,2,3,0
26154,4,1,4,0
23347,2,3,3,0
28307,4,3,2,0
10963,4,3,4,0
25054,4,2,1,0
24014,2,2,4,0
28785,4,1,4,0
21693,4,1,4,0
23363,3,3,3,0
28460,4,3,3,0
29634,4,1,4,0
26331,4,3,1,0
15582,2,2,4,0
27660,4,1,3,0
27324,4,3,4,0
13918,4,3,2,0
22638,4,3,3,0
15498,4,2,4,0
11239,4,1,3,0
14996,4,3,4,0
13033,3,3,1,0
11304,4,1,4,0
29345,4,2,4,0
29949,4,1,4,0
29335,4,3,4,0
13099,3,3,4,0
18558,4,1,3,0
29102,3,3,4,0
24024,3,2,1,0
15997,4,2,4,0
21615,4,2,3,0
18392,4,3,4,0
15550,3,3,3,0
14709,3,2,4,0
23521,3,3,4,0
10630,1,3,3,0
22790,4,1,4,0
29422,3,3,4,0
22171,4,1,3,0
16202,3,3,4,0
12433,4,1,4,0
22438,4,2,3,0
13289,4,2,3,0
23992,3,2,2,0
20208,4,3,3,0
11044,4,3,4,0
13748,2,3,3,0
14140,4,2,3,0
27564,4,1,3,0
13811,4,1,4,0
23251,3,2,1,0
15728,4,1,4,0
25997,4,3,4,0
12128,4,1,4,0
24098,2,2,4,0
12497,4,3,4,0
23089,3,2,4,0
25913,3,3,2,0
14532,4,3,1,0
21017,4,3,3,0
12430,4,2,4,0
21000,4,1,4,0
27724,4,3,3,0
23960,4,3,2,0
23357,3,1,3,0
23738,4,2,4,0
25419,4,1,4,0
28014,3,2,4,0
29667,4,3,4,0
11770,4,2,4,0
27728,3,2,2,0
12769,2,2,1,0
16449,4,1,4,0
25281,4,2,3,0
29057,4,1,4,0
24312,4,1,3,0
27030,4,1,4,0
17529,4,1,4,0
21180,4,3,2,0
23686,4,2,3,0
21748,3,1,4,0
21169,4,3,4,0
12453,3,2,3,0
12889,4,3,4,0
13503,4,1,3,0
24979,4,3,2,0
13599,3,3,4,0
27501,3,3,4,0
13526,4,1,4,0
12698,4,3,4,0
16975,4,1,4,0
15337,4,1,4,0
23847,3,2,1,0
26233,4,2,4,0
27255,3,2,1,0
26213,4,1,4,0
16663,4,2,4,0
15849,4,1,4,0
11501,3,1,4,0
17062,3,3,3,0
17464,3,2,4,0
16954,4,1,4,0
23830,3,3,2,0
14325,3,3,4,0
18090,4,2,3,0
24899,4,1,4,0
26809,4,1,2,1
10486,4,1,4,0
14254,2,2,2,0
16566,3,2,3,0
11570,2,3,4,0
20850,1,3,1,0
21112,3,3,3,0
29090,4,1,4,0
11983,4,3,4,1
25321,3,2,3,0
12916,4,3,3,0
14041,3,3,4,0
10188,4,1,2,0
27445,3,3,3,1
23455,4,1,4,0
14939,4,1,4,0
28405,3,3,3,0
15175,4,4,4,1
28560,3,2,1,0
14870,4,2,4,0
29418,2,3,2,0
14042,4,1,4,0
13192,4,1,4,0
10004,3,2,4,0
19720,4,2,3,0
11279,2,3,2,0
22557,3,2,2,1
29652,4,1,4,0
22260,3,3,4,1
22459,1,2,4,0
22846,4,1,4,0
22788,2,2,1,0
15775,3,1,2,0
20938,4,1,4,0
26470,4,2,3,0
18016,3,2,2,0
18109,4,3,3,0
19602,4,1,4,0
24161,3,3,1,0
17494,2,3,2,1
28134,4,3,1,0
12819,4,1,3,0
18731,3,2,3,0
28122,4,1,3,0
16333,3,2,1,0
19959,4,3,4,0
16382,1,3,4,0
29899,2,2,2,1
11922,4,1,4,0
17701,4,1,3,0
21148,4,2,4,0
23346,4,2,4,0
12439,4,3,4,0
14777,3,2,3,0
12308,4,3,4,0
28005,4,1,4,0
21243,3,3,4,0
16678,1,3,1,0
13397,4,1,3,0
22291,4,2,4,0
17468,2,3,3,1
27486,3,3,2,0
11036,4,1,4,1
17095,4,2,2,0
19779,3,1,1,0
14439,4,3,4,0
29773,3,3,3,1
12758,4,3,2,0
19787,4,1,4,0
16349,2,2,2,0
17176,4,3,2,0
13827,4,2,2,0
24767,2,2,4,0
15635,4,1,4,0
28501,1,3,1,1
10353,4,1,4,0
27701,4,1,4,0
10931,3,3,2,0
12648,4,1,2,0
13401,3,2,2,1
16944,2,2,4,0
17243,1,2,1,1
12212,3,2,2,0
19334,2,3,2,0
14570,3,2,3,0
15486,4,2,3,0
26460,4,2,3,0
29214,4,1,4,0
17187,4,3,2,0
23623,4,1,3,0
14599,4,1,4,0
27810,4,2,4,0
21611,4,1,4,0
12744,1,3,4,1
28345,2,1,3,0
22894,3,3,3,0
19409,2,2,3,0
29693,2,3,4,0
12115,4,2,2,0
18685,4,1,4,0
21249,2,3,3,0
15135,4,3,3,0
13075,4,1,3,0
14849,3,2,4,0
29047,4,3,3,0
25260,4,1,3,0
18961,3,3,2,0
13148,4,3,3,0
16363,4,3,4,0
20425,4,1,4,0
10332,3,2,4,0
11862,4,1,4,0
15050,4,2,3,0
19807,2,3,4,0
10074,4,1,4,1
27090,3,3,2,0
16248,4,1,4,0
22274,3,2,1,0
23627,3,3,2,0
16125,2,3,3,0
12812,1,3,2,0
26965,2,3,4,0
20706,4,3,3,0
17984,4,1,4,0
16025,2,3,1,0
10020,3,3,2,0
24551,4,2,4,0
19486,2,2,4,0
27621,3,3,2,0
16652,3,3,4,0
10085,4,3,3,0
29729,4,2,1,0
18868,4,1,3,0
13198,4,1,3,0
13301,3,3,2,1
12072,4,1,4,0
12699,4,1,3,0
23269,4,2,2,0
16765,3,3,1,0
17920,4,2,4,0
27338,2,3,4,0
10971,4,1,3,0
29416,4,3,1,0
28462,4,3,3,0
26779,3,3,4,0
19509,2,3,2,0
14923,3,3,2,1
17662,2,2,3,0
27622,3,3,3,0
27903,4,2,4,0
11477,4,1,4,0
24316,4,1,4,0
29791,4,2,3,0
18848,3,2,2,0
11299,4,1,4,0
13741,4,1,4,0
22521,3,3,4,0
17160,2,2,2,0
26243,2,2,1,0
20048,4,1,3,0
26691,4,3,2,0
26658,4,3,4,0
11296,4,4,1,0
13749,4,3,1,0
29691,4,3,3,0
19675,4,2,4,0
11509,4,1,4,0
25621,4,1,4,0
16430,4,3,1,0
20563,4,2,3,0
16069,2,3,2,0
24839,4,1,4,0
28532,4,2,4,0
15326,2,2,2,1
26629,3,3,4,0
20585,4,1,3,0
17925,4,1,4,0
25539,4,3,3,0
13247,4,3,3,0
19284,4,1,3,0
24518,4,1,4,0
26593,3,4,4,0
16383,4,3,4,0
10473,4,2,4,0
25017,4,2,2,0
15107,2,3,2,0
25577,3,1,4,0
23237,4,1,4,0
27326,3,2,3,0
15534,2,3,2,1
28346,4,1,3,0
14536,3,3,3,0
23090,4,3,3,0
16134,4,1,2,0
18376,1,2,2,1
17207,4,1,4,0
13929,4,3,3,0
21266,4,3,2,0
25514,4,2,4,0
20034,3,3,2,0
13038,4,3,4,0
18215,3,3,2,0
14107,2,3,1,0
27636,4,1,3,0
22872,4,1,4,0
29411,4,3,3,0
24473,2,1,2,0
24936,2,3,3,0
19314,4,3,3,0
13958,3,2,2,1
14172,4,2,1,0
16718,2,3,2,0
20689,4,1,2,1
13559,2,3,1,0
28416,3,3,3,0
28132,4,2,4,0
20725,1,3,3,0
16267,3,3,3,0
17888,3,2,1,0
28163,4,1,4,0
13691,3,3,3,1
12007,4,2,3,0
18428,4,2,4,0
21213,4,1,3,0
17934,4,2,3,0
29650,4,1,2,0
19296,4,1,4,0
17322,4,1,4,0
13171,3,2,3,0
10170,2,4,3,0
14006,4,1,4,0
14169,2,2,3,0
13425,4,1,4,0
14356,4,2,4,0
26236,3,3,4,0
16778,3,3,3,0
15529,4,2,2,0
22833,3,1,4,0
27261,4,3,4,0
10879,4,1,4,0
15193,4,1,3,0
19631,4,1,4,0
27175,4,2,4,0
12452,4,3,4,0
24877,3,3,1,0
10230,3,2,2,0
23921,4,3,4,0
19230,3,3,4,0
18185,2,3,1,0
23829,3,2,3,0
20285,2,3,4,0
16106,2,2,4,0
19308,4,2,4,0
25444,4,2,1,0
16016,2,4,4,0
18684,4,2,1,0
11074,4,4,1,0
17527,4,1,4,0
12290,3,3,3,0
20935,2,2,3,0
23507,4,3,2,0
15831,4,1,4,0
25197,4,1,4,0
11616,3,3,4,0
27498,4,2,4,0
23584,3,2,4,0
10689,4,1,3,0
21126,2,2,4,1
10899,3,3,4,0
12748,2,3,1,0
21993,4,1,2,0
17935,2,2,4,0
28824,3,3,1,0
18044,3,3,3,0
21370,4,1,4,0
21577,4,1,4,0
15477,2,3,3,0
16358,1,2,4,0
11615,3,3,3,0
12796,4,3,3,0
17354,4,1,4,0
12950,4,1,2,0
25909,3,2,3,0
22419,4,2,3,0
13967,4,2,4,0
22069,4,1,4,0
10825,4,1,4,0
23730,4,1,4,0
23479,4,3,3,0
25496,4,1,2,0
20654,3,3,2,0
13435,4,1,4,0
22614,4,4,4,0
15920,4,1,4,0
10754,4,1,2,0
29665,4,1,3,0
29444,2,3,4,0
24554,3,2,2,0
21301,4,1,4,0
18518,4,1,4,0
11697,4,1,4,0
10139,4,1,4,0
19852,4,1,4,0
27751,4,3,4,0
19121,4,3,4,0
17265,4,3,3,0
10520,4,3,4,0
20933,4,1,4,0
12816,4,1,4,0
22791,3,2,4,0
10409,3,1,4,0
25331,2,3,3,0
27860,4,1,3,0
10295,4,1,4,0
26247,3,2,3,0
13330,4,3,3,0
12984,4,1,4,0
26845,4,1,4,0
17522,3,3,3,1
19970,4,3,4,0
26893,4,1,4,0
25615,4,2,3,0
28550,3,3,4,0
24449,4,1,4,0
28477,4,1,4,0
12129,4,1,3,0
18479,4,2,3,0
12884,3,3,3,0
27150,3,3,2,0
29144,4,1,4,0
12569,3,2,2,0
16535,3,3,1,0
29788,4,3,3,0
23860,4,1,3,0
14334,3,3,3,0
22102,4,3,3,0
24703,3,2,1,0
20916,4,1,4,0
20516,4,2,4,0
26928,4,1,4,0
10141,2,3,3,1
28799,3,3,2,0
28137,4,1,4,0
25958,4,1,4,0
25141,4,3,1,0
27373,2,3,3,0
16117,4,2,4,0
27516,4,1,3,0
16995,4,2,1,0
29501,4,3,3,0
23004,4,3,4,0
29857,4,3,3,0
29744,3,2,3,0
19732,4,1,3,0
25477,3,2,4,0
14366,4,1,4,0
26387,4,3,4,0
20252,3,3,4,0
23099,2,2,2,1
27878,4,4,4,0
25532,4,3,3,0
12181,4,1,4,0
18522,3,3,4,0
14594,4,1,4,0
16747,4,2,4,0
11106,3,3,4,0
21479,3,2,3,0
17273,4,1,4,0
16160,4,1,4,0
22286,4,3,4,0
23304,4,2,4,0
21379,3,2,3,1
13120,4,2,4,0
17447,4,1,4,0
26344,3,3,4,0
23183,4,1,3,0
20064,3,2,4,0
22498,1,2,2,1
13499,4,3,3,0
11589,4,1,4,0
11029,4,3,2,0
23137,3,3,3,0
25897,4,1,4,0
13059,4,1,2,0
29817,3,2,3,0
21669,4,4,3,0
23887,4,1,4,0
17655,3,2,4,0
28880,4,2,1,0
22420,4,1,3,0
25575,4,1,4,0
18129,4,1,4,0
29824,3,3,3,0
13700,4,1,3,0
26040,3,3,3,0
14341,3,3,3,0
21970,4,3,4,0
11599,4,3,4,0
26024,3,2,4,0
19951,3,3,2,0
26867,4,2,4,0
12623,3,3,3,0
11321,4,1,4,0
29783,4,2,4,0
11916,3,3,2,0
14572,4,1,2,0
15630,3,3,2,0
10187,1,3,2,0
12898,4,1,2,0
17085,4,2,4,0
25349,3,2,4,0
24479,3,2,4,0
10042,4,3,3,0
26423,4,1,4,0
26644,2,2,4,0
26380,4,3,3,0
29199,3,3,2,0
21803,4,3,4,0
10488,4,3,3,0
10239,3,3,3,0
17691,3,2,2,0
11284,4,2,4,0
24763,4,3,2,0
15994,4,1,4,0
15717,4,1,4,0
20006,4,1,4,0
24946,2,2,2,0
25158,4,1,4,0
23480,4,1,3,1
12714,4,1,4,0
23530,2,3,1,0
23214,4,1,4,0
23287,4,1,3,0
21727,2,3,1,0
20538,3,2,4,0
18957,4,1,4,0
20991,4,3,1,1
25957,4,2,3,0
28878,3,2,1,0
20219,4,3,3,0
21020,3,1,4,0
21868,2,3,2,0
12638,2,2,4,0
10597,4,3,3,0
16640,4,1,3,0
22461,4,1,4,0
17261,4,2,4,0
27881,4,2,4,0
16274,4,1,4,0
23671,4,2,4,0
23262,2,2,2,1
27467,4,2,4,0
13992,4,2,3,0
13863,2,2,3,1
11132,4,1,3,0
28722,1,3,4,0
14461,4,1,3,0
19806,4,3,4,0
19495,3,2,4,0
12395,4,1,3,0
13082,3,3,3,0
22252,4,1,4,0
10894,4,1,3,0
18098,1,4,2,1
20029,4,2,4,0
16120,2,2,3,0
28673,4,2,3,0
14839,3,3,3,0
18026,4,2,4,0
15441,4,3,3,0
20100,2,3,3,0
24364,4,1,3,0
18512,4,3,3,0
20336,3,2,3,0
20277,3,2,4,0
16878,4,3,3,0
28052,4,1,3,0
22016,4,3,3,0
12398,3,3,1,0
15848,2,3,3,0
29606,4,3,2,0
11708,4,2,2,1
16472,3,2,3,0
18232,4,3,4,1
13507,3,1,2,0
19532,4,1,4,0
21575,2,2,2,0
11237,3,1,4,0
16128,4,1,4,0
14065,3,3,3,0
20951,4,1,4,0
11171,4,2,4,0
23290,4,2,4,0
14218,3,2,4,0
24423,4,1,4,0
16050,4,4,2,1
18502,4,1,4,0
10924,3,2,3,0
22518,2,3,2,0
22680,3,3,3,0
14021,4,3,2,0
27730,2,2,2,1
19198,4,3,4,0
25833,4,2,4,0
24219,4,1,4,0
18666,4,3,4,0
11180,4,3,3,0
21136,4,3,3,0
14712,3,3,4,0
17270,3,3,2,0
19183,2,3,2,0
11073,3,3,3,0
28158,3,3,4,0
25718,4,3,3,0
14889,2,4,1,0
14963,2,3,2,1
26857,4,3,2,0
17409,4,3,3,0
14858,2,2,4,0
26067,4,2,4,0
22961,2,1,3,0
12184,4,2,2,0
18167,1,2,1,0
18610,2,3,1,0
29978,3,3,3,0
19756,2,3,4,1
19292,4,2,4,0
12577,4,3,4,0
11389,4,1,4,0
17696,4,3,4,0
18506,4,1,4,0
20988,3,2,3,0
29509,4,1,4,0
29082,4,1,3,0
19923,1,3,1,0
11665,1,2,2,0
24938,3,3,4,0
14171,4,3,3,0
11783,3,2,4,0
12626,4,3,3,0
22831,4,1,4,0
25431,4,2,4,0
20940,3,2,4,0
24053,4,3,4,0
23741,2,2,4,0
19014,4,1,4,0
18811,3,3,3,0
14068,2,3,1,1
28808,4,1,4,0
18813,3,3,4,1
18873,4,1,3,0
13550,4,1,3,0
12864,4,3,4,0
20986,4,2,2,0
19277,4,1,4,0
29695,3,2,3,0
23496,2,2,3,0
17002,3,3,2,0
14925,4,2,3,0
26046,4,1,4,0
12543,4,1,2,0
28168,4,3,4,0
22688,3,3,3,0
25663,4,2,3,0
10735,3,3,2,0
19986,4,3,4,0
16477,3,3,2,0
29070,4,1,4,0
11020,4,3,1,0
16732,3,2,4,0
10591,3,3,1,0
18537,4,1,4,0
14309,4,3,4,0
25987,4,2,3,0
17444,3,3,1,0
28918,4,1,4,0
14728,4,2,4,0
18922,3,3,3,0
26266,4,3,4,0
11825,4,3,4,0
13632,4,3,4,0
11378,4,2,1,0
17992,2,3,2,1
29909,4,1,4,0
27411,4,3,3,0
18011,3,3,4,0
10375,4,3,2,0
27667,4,1,4,0
26142,4,4,4,1
29868,3,3,3,0
10335,4,1,3,0
21858,3,2,4,0
21794,4,1,4,0
16570,2,2,1,0
16313,4,1,4,0
25834,4,2,4,0
22456,4,1,4,0
16521,4,1,4,0
18832,4,1,4,0
29342,4,1,4,0
16353,4,3,3,1
10524,2,3,2,0
10993,4,3,4,0
15230,4,2,4,0
14722,4,1,3,0
21938,2,2,1,0
27164,3,2,3,0
22083,4,3,4,0
29957,4,2,2,0
27629,4,1,4,0
23093,3,2,3,0
29088,4,3,4,0
25839,4,1,3,0
19506,4,2,4,0
25670,4,1,4,0
29542,3,3,3,0
28973,3,2,3,0
28936,4,1,3,0
14468,4,1,2,1
15200,4,2,4,0
11971,3,3,2,0
12172,3,3,3,0
27817,4,3,3,0
10781,4,3,3,0
21826,3,2,1,1
18538,3,2,4,0
10966,3,3,2,0
20259,3,1,3,0
13434,4,1,4,0
12324,4,1,4,0
24030,4,1,4,0
25107,4,2,4,0
27867,3,3,1,0
27153,4,1,4,0
16648,4,3,4,1
20792,4,2,3,0
25742,3,2,1,0
29222,4,3,3,0
28516,4,1,2,1
14566,1,4,1,1
11692,3,2,2,0
23944,2,3,2,0
13989,4,4,4,0
24575,3,3,2,0
11021,2,3,1,1
19215,4,3,2,0
25921,4,1,3,0
20983,3,3,4,0
20075,4,2,3,0
26787,4,1,4,0
22194,4,1,4,0
22477,3,1,2,0
23560,4,1,4,0
14437,4,3,1,0
14084,4,1,4,0
25784,4,2,3,0
16668,4,1,4,0
24701,4,1,3,0
15892,2,2,2,1
29167,4,2,4,0
11167,4,2,4,0
13962,1,3,3,0
17300,3,3,1,1
21227,4,2,3,0
29704,4,1,4,0
13581,3,3,2,0
15973,3,1,4,0
16469,3,3,3,0
18550,3,4,2,0
23265,3,3,1,1
11741,4,1,4,0
15063,3,3,4,0
12435,3,3,2,0
28258,4,2,4,0
18834,3,3,1,0
27772,4,1,4,0
16236,4,1,4,0
13408,2,3,2,0
19766,1,2,1,1
16583,3,3,3,0
14969,4,2,4,0
26237,4,2,1,0
12168,3,3,3,1
11943,4,2,4,0
23118,4,1,4,0
18234,2,3,2,0
26732,4,3,4,0
29539,3,2,3,1
12313,3,3,2,0
27008,2,2,1,0
22206,4,1,4,0
27879,4,2,4,0
26829,4,3,3,0
15568,2,3,2,0
10011,4,1,4,1
12878,4,3,4,0
16287,3,3,4,0
25651,2,3,1,1
28893,4,3,4,0
16824,3,2,2,0
15092,4,2,4,0
15533,4,2,3,0
13987,4,3,3,0
20899,3,3,2,0
17635,3,1,2,0
12770,3,2,2,0
11733,4,3,3,0
19022,3,1,3,0
11023,4,2,3,0
26287,3,4,3,0
14519,4,1,3,0
24258,4,3,3,0
25259,3,2,2,0
18407,3,2,4,0
16580,4,1,3,0
16454,2,3,1,0
15647,4,1,4,0
23146,4,3,2,0
17411,4,1,4,0
12676,4,1,4,0
29784,4,2,4,0
28400,4,2,4,0
26064,4,1,3,0
10606,2,3,1,0
16060,4,3,2,0
18221,3,3,1,0
18818,4,2,4,0
16026,4,3,1,0
14198,4,1,4,0
20849,4,2,3,0
12396,4,3,4,0
12862,3,3,2,0
13583,3,3,2,0
17027,3,2,3,0
29194,4,1,4,0
23509,4,3,2,0
25151,4,3,3,0
13715,3,3,4,0
24340,4,1,4,0
22232,4,3,4,0
22779,2,2,1,0
22938,3,3,3,0
11316,4,2,4,0
24381,4,3,2,1
22617,3,3,3,0
21023,4,3,4,0
27424,2,3,1,1
17433,3,2,4,0
10519,4,2,3,0
25383,4,1,4,0
26846,4,1,4,0
28165,2,3,4,0
14635,3,3,4,0
25903,3,3,3,0
24150,4,4,4,0
17633,4,2,3,0
11450,2,1,3,0
12798,3,3,1,0
11874,4,2,4,0
26805,3,3,3,0
17833,4,3,4,0
17454,4,3,2,0
15576,4,3,4,0
28127,4,1,3,0
27874,4,3,4,0
15002,4,2,4,0
16445,4,1,4,0
25517,4,1,3,0
11876,3,3,3,0
22907,4,3,3,0
21893,2,2,4,0
11250,4,1,4,0
13449,3,3,4,0
13692,4,2,4,0
23218,4,1,4,0
28739,4,4,4,0
21506,4,2,3,0
16265,4,2,3,0
25522,4,1,4,0
14395,3,3,2,0
26736,3,3,3,0
11959,4,1,4,0
11927,3,2,4,0
23602,4,1,4,0
10381,3,2,3,0
29538,4,2,4,0
11372,4,1,4,0
17200,4,3,4,0
28909,4,2,4,0
27682,2,4,4,0
24416,4,3,4,0
16495,2,2,1,1
20547,1,2,4,0
29190,3,2,2,0
18163,1,3,4,0
24745,4,1,4,0
23321,4,3,2,0
26436,4,3,4,0
23356,1,4,3,0
20795,4,1,3,0
10052,1,3,1,1
13287,4,3,2,0
29882,4,3,4,0
14478,4,1,4,0
22910,4,3,3,1
13003,1,2,3,1
28317,4,3,3,0
27278,4,2,3,0
29068,3,2,4,0
29018,4,3,4,0
26985,4,2,4,0
12662,4,3,3,0
20709,3,2,3,0
24276,4,2,4,0
19329,3,1,3,0
13739,4,1,4,0
27453,4,3,4,0
15195,4,2,3,0
15901,4,3,4,0
14733,4,3,2,0
21273,4,2,4,0
13851,3,3,3,0
20492,4,1,4,1
28628,4,1,4,0
11345,4,3,3,0
18475,3,3,4,0
18830,4,3,3,0
13202,4,2,4,0
18465,4,1,4,0
10725,4,1,4,0
18349,3,3,4,0
13534,2,3,4,0
12890,3,1,4,0
19080,4,2,3,0
24135,4,3,4,0
13308,4,1,4,0
27248,4,3,3,0
14405,4,2,4,0
28600,4,3,2,0
16920,3,3,1,0
22480,2,2,2,1
19772,3,3,4,0
13215,3,2,3,0
15410,2,3,3,0
14284,4,2,4,0
29183,4,3,3,0
29512,3,3,2,0
29298,2,3,4,0
25246,2,3,3,0
21448,4,2,3,0
22582,2,3,1,0
26522,4,3,4,0
12718,4,3,2,0
29997,2,2,2,0
29948,2,3,1,0
28145,4,1,3,0
10159,4,3,1,0
22314,4,1,4,0
29526,2,2,2,0
21626,3,2,2,0
