ID,REGION,DIVISION,STATE,FAMILY INCOME,HOUSEHOLD LANGUAGE,HOUSEHOLD INCOME,WORKERS IN FAMILY,PERSONS IN FAMILY
2009000089236,South,East South Central,1,Non-Family,English only,9.81,Non-Family,Non-Family
2009000311177,South,East South Central,1,10.44,English only,10.44,1,2
2009000426047,South,East South Central,1,Non-Family,English only,9.88,Non-Family,Non-Family
2009000448671,South,East South Central,1,Non-Family,English only,11.53,Non-Family,Non-Family
2009000523654,South,East South Central,1,Non-Family,English only,10.12,Non-Family,Non-Family
2009000742214,South,East South Central,1,12.37,English only,12.37,1,2
2009001335518,South,East South Central,1,11.15,English only,11.15,3+,3
2010000145521,South,East South Central,1,10.11,English only,10.11,0,4
2010000560424,South,East South Central,1,11.78,English only,11.78,2,3
2010000853150,South,East South Central,1,Non-Family,English only,11.69,Non-Family,Non-Family
2010001045405,South,East South Central,1,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000477680,South,East South Central,1,9.38,English only,11.4,0,3
2011000659682,South,East South Central,1,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000735997,South,East South Central,1,12.65,English only,12.65,1,2
2012000023613,South,East South Central,1,12.22,Other Non-English,12.22,1,2
2012000406273,South,East South Central,1,9.71,English only,9.71,0,4
2012000950243,South,East South Central,1,Non-Family,English only,9.83,Non-Family,Non-Family
2012001194372,South,East South Central,1,Non-Family,English only,10.21,Non-Family,Non-Family
2012001247410,South,East South Central,1,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000385931,South,East South Central,1,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000754626,South,East South Central,1,Non-Family,English only,0,Non-Family,Non-Family
2013000938302,South,East South Central,1,10.62,English only,10.9,2,2
2010000709910,West,Pacific,2,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000809154,West,Pacific,2,9.85,Other Non-English,9.85,0,5
2012000139973,West,Pacific,2,Non-Family,English only,11.1,Non-Family,Non-Family
2009000272096,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000464351,West,Mountain,4,12.18,English only,12.18,1,6
2009000674253,West,Mountain,4,Non-Family,Other Non-English,11.87,Non-Family,Non-Family
2009001228662,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000577930,West,Mountain,4,12.92,English only,12.92,2,2
2010000920682,West,Mountain,4,11.29,Other Non-English,11.29,1,4
2010000993132,West,Mountain,4,11.13,English only,11.18,2,2
2010001287101,West,Mountain,4,Non-Family,English only,10.71,Non-Family,Non-Family
2011000117544,West,Mountain,4,10.58,English only,10.58,0,2
2011000560023,West,Mountain,4,12.11,English only,12.11,2,2
2011000615594,West,Mountain,4,Non-Family,English only,11.11,Non-Family,Non-Family
2011000930125,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000305692,West,Mountain,4,Non-Family,English only,10.69,Non-Family,Non-Family
2012000751903,West,Mountain,4,11.57,English only,11.57,0,2
2012001116118,West,Mountain,4,11.8,English only,11.8,1,4
2012001431375,West,Mountain,4,9.81,English only,9.81,2,4
2013000145612,West,Mountain,4,Non-Family,English only,10.54,Non-Family,Non-Family
2013000196018,West,Mountain,4,12.47,English only,12.47,3+,3
2013000501229,West,Mountain,4,Non-Family,English only,12.82,Non-Family,Non-Family
2013001077630,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013001242982,West,Mountain,4,11.05,English only,11.07,2,2
2013001276229,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013001279169,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013001325629,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000138591,South,West South Central,5,11.29,English only,11.29,2,2
2009000234689,South,West South Central,5,11.03,English only,11.03,1,2
2009000736103,South,West South Central,5,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009001164727,South,West South Central,5,10.33,English only,10.33,2,2
2011000034575,South,West South Central,5,Non-Family,English only,11.8,Non-Family,Non-Family
2012000371696,South,West South Central,5,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000699707,South,West South Central,5,Non-Family,English only,10.81,Non-Family,Non-Family
2013000894254,South,West South Central,5,Non-Family,English only,9.42,Non-Family,Non-Family
2013000947774,South,West South Central,5,11.09,English only,11.09,1,4
2013001400970,South,West South Central,5,Non-Family,English only,11.35,Non-Family,Non-Family
2009000050702,West,Pacific,6,Non-Family,English only,10.78,Non-Family,Non-Family
2009000052999,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000093986,West,Pacific,6,Non-Family,Other Non-English,0,Non-Family,Non-Family
2009000127731,West,Pacific,6,13.4,Other Non-English,13.4,1,2
2009000204532,West,Pacific,6,11.61,Other Non-English,11.61,2,3
2009000240181,West,Pacific,6,12.5,Other Non-English,12.5,1,6
2009000257636,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000396337,West,Pacific,6,Non-Family,Other Non-English,9.67,Non-Family,Non-Family
2009000539526,West,Pacific,6,11.42,English only,11.42,1,4
2009000573768,West,Pacific,6,10.75,Other Non-English,10.75,0,3
2009000633377,West,Pacific,6,Non-Family,English only,12.32,Non-Family,Non-Family
2009000685823,West,Pacific,6,Non-Family,English only,9.25,Non-Family,Non-Family
2009000788042,West,Pacific,6,13.03,Other Non-English,13.03,3+,5
2009000841498,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000880261,West,Pacific,6,12.62,Other Non-English,12.62,1,3
2009000882530,West,Pacific,6,11.23,English only,11.23,0,2
2009000907604,West,Pacific,6,12.05,English only,12.05,2,3
2009000939726,West,Pacific,6,12.5,English only,12.5,2,2
2009000950644,West,Pacific,6,12.32,English only,12.32,2,2
2009001075956,West,Pacific,6,10.75,Other Non-English,10.75,1,4
2009001140838,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009001147802,West,Pacific,6,0,Other Non-English,0,0,4
2009001252347,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009001379536,West,Pacific,6,Non-Family,English only,11.59,Non-Family,Non-Family
2009001386199,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000033026,West,Pacific,6,10.49,English only,10.49,0,2
2010000070396,West,Pacific,6,13.24,English only,13.24,1,3
2010000081788,West,Pacific,6,11.05,Other Non-English,11.05,2,7
2010000126011,West,Pacific,6,Non-Family,English only,10.11,Non-Family,Non-Family
2010000171705,West,Pacific,6,Non-Family,Other Non-English,11.35,Non-Family,Non-Family
2010000255658,West,Pacific,6,12.59,English only,12.59,2,5
2010000287215,West,Pacific,6,12.12,English only,12.12,2,2
2010000291864,West,Pacific,6,11.94,English only,11.94,1,2
2010000363420,West,Pacific,6,11.25,English only,11.25,0,2
2010000390308,West,Pacific,6,10.77,English only,10.77,2,3
2010000503986,West,Pacific,6,12.69,Other Non-English,12.69,2,2
2010000531302,West,Pacific,6,12.16,Other Non-English,12.16,2,2
2010000566354,West,Pacific,6,Non-Family,English only,13.27,Non-Family,Non-Family
2010000615452,West,Pacific,6,11.86,English only,11.86,1,4
2010000639129,West,Pacific,6,10.86,English only,10.86,0,2
2010000640301,West,Pacific,6,12.55,Other Non-English,12.55,3+,12
2010000708054,West,Pacific,6,13.48,English only,13.48,1,2
2010000820177,West,Pacific,6,Non-Family,English only,11.53,Non-Family,Non-Family
2010000904103,West,Pacific,6,Non-Family,English only,12.39,Non-Family,Non-Family
2010001086467,West,Pacific,6,Non-Family,English only,10.86,Non-Family,Non-Family
2010001143170,West,Pacific,6,12.63,English only,12.63,1,4
2010001213705,West,Pacific,6,12.84,English only,12.84,1,4
2010001276755,West,Pacific,6,11.46,Other Non-English,11.73,2,4
2010001283973,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010001305717,West,Pacific,6,11.2,English only,11.2,2,2
2010001345132,West,Pacific,6,11.58,English only,11.58,2,3
2010001396542,West,Pacific,6,11.09,Other Non-English,11.09,1,6
2010001402014,West,Pacific,6,Non-Family,Other Non-English,13.02,Non-Family,Non-Family
2011000025453,West,Pacific,6,11.77,English only,11.77,0,2
2011000095242,West,Pacific,6,12.64,Other Non-English,12.64,2,3
2011000100792,West,Pacific,6,Non-Family,English only,0,Non-Family,Non-Family
2011000143691,West,Pacific,6,11.76,English only,11.76,0,2
2011000192343,West,Pacific,6,12.92,English only,12.92,3+,4
2011000277715,West,Pacific,6,10.72,Other Non-English,10.72,0,2
2011000288190,West,Pacific,6,Non-Family,English only,11.19,Non-Family,Non-Family
2011000414068,West,Pacific,6,12.35,Other Non-English,12.35,3+,4
2011000421562,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000469767,West,Pacific,6,Non-Family,English only,11.49,Non-Family,Non-Family
2011000485037,West,Pacific,6,Non-Family,English only,7.53,Non-Family,Non-Family
2011000486565,West,Pacific,6,12.16,English only,12.16,2,3
2011000538626,West,Pacific,6,Non-Family,Other Non-English,10.72,Non-Family,Non-Family
2011000618548,West,Pacific,6,10.13,Other Non-English,10.13,2,7
2011000648841,West,Pacific,6,Non-Family,English only,10.06,Non-Family,Non-Family
2011000661393,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000694250,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000694442,West,Pacific,6,10.42,English only,10.42,1,4
2011000714683,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000717815,West,Pacific,6,Non-Family,English only,10.19,Non-Family,Non-Family
2011000834162,West,Pacific,6,9.38,English only,9.38,0,3
2011000899871,West,Pacific,6,13.06,Other Non-English,13.06,0,2
2011000927015,West,Pacific,6,Non-Family,Other Non-English,10.74,Non-Family,Non-Family
2011000947617,West,Pacific,6,Non-Family,English only,12.87,Non-Family,Non-Family
2011000962318,West,Pacific,6,12.46,English only,12.46,2,2
2011000964339,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000968918,West,Pacific,6,Non-Family,English only,0,Non-Family,Non-Family
2011001059818,West,Pacific,6,Non-Family,English only,9.72,Non-Family,Non-Family
2011001081997,West,Pacific,6,10.92,Other Non-English,10.92,1,4
2011001137431,West,Pacific,6,13.61,Other Non-English,13.61,1,2
2011001150671,West,Pacific,6,11.43,English only,11.43,2,3
2011001208517,West,Pacific,6,12.28,English only,12.28,2,2
2011001232579,West,Pacific,6,10.44,Other Non-English,10.44,1,2
2011001270089,West,Pacific,6,12.41,English only,12.41,2,4
2011001312138,West,Pacific,6,12.99,Other Non-English,12.99,1,4
2011001344688,West,Pacific,6,12.45,English only,12.45,3+,3
2011001455941,West,Pacific,6,11.62,English only,11.62,0,2
2011001468475,West,Pacific,6,Non-Family,English only,10.49,Non-Family,Non-Family
2012000031233,West,Pacific,6,11.82,Other Non-English,11.82,2,2
2012000086919,West,Pacific,6,12.0,Other Non-English,12.0,3+,5
2012000102148,West,Pacific,6,9.7,Other Non-English,9.7,1,6
2012000102482,West,Pacific,6,Non-Family,Other Non-English,10.92,Non-Family,Non-Family
2012000108872,West,Pacific,6,10.48,Other Non-English,10.48,2,3
2012000169429,West,Pacific,6,Non-Family,Other Non-English,10.96,Non-Family,Non-Family
2012000175084,West,Pacific,6,12.83,Other Non-English,12.83,2,3
2012000178018,West,Pacific,6,12.31,Other Non-English,12.31,2,2
2012000299456,West,Pacific,6,11.77,English only,11.77,2,2
2012000334630,West,Pacific,6,Non-Family,English only,11.05,Non-Family,Non-Family
2012000354174,West,Pacific,6,12.08,English only,12.08,1,2
2012000381466,West,Pacific,6,Non-Family,English only,10.5,Non-Family,Non-Family
2012000449894,West,Pacific,6,Non-Family,English only,11.09,Non-Family,Non-Family
2012000499030,West,Pacific,6,13.49,English only,13.49,2,4
2012000552909,West,Pacific,6,10.15,English only,10.15,1,6
2012000621916,West,Pacific,6,11.29,Other Non-English,11.29,1,4
2012000622881,West,Pacific,6,9.75,English only,9.75,1,2
2012000676798,West,Pacific,6,13.23,English only,13.23,1,2
2012000775206,West,Pacific,6,11.29,English only,11.29,0,2
2012000905147,West,Pacific,6,11.03,Other Non-English,11.03,1,3
2012000945418,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000946605,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000985786,West,Pacific,6,13.03,English only,13.03,2,3
2012001000322,West,Pacific,6,Non-Family,English only,11.0,Non-Family,Non-Family
2012001345697,West,Pacific,6,11.79,English only,11.79,0,2
2012001406159,West,Pacific,6,11.8,English only,11.8,3+,3
2013000102990,West,Pacific,6,11.63,Other Non-English,11.63,2,4
2013000156435,West,Pacific,6,Non-Family,English only,9.1,Non-Family,Non-Family
2013000199522,West,Pacific,6,11.78,English only,12.13,1,2
2013000461364,West,Pacific,6,10.1,Other Non-English,10.1,0,3
2013000477937,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000519806,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000552741,West,Pacific,6,Non-Family,Other Non-English,11.62,Non-Family,Non-Family
2013000576507,West,Pacific,6,11.41,Other Non-English,11.41,2,3
2013000595917,West,Pacific,6,9.7,English only,10.66,2,3
2013000623047,West,Pacific,6,10.06,Other Non-English,10.06,2,4
2013000724614,West,Pacific,6,Non-Family,Other Non-English,10.06,Non-Family,Non-Family
2013000753847,West,Pacific,6,Non-Family,English only,11.25,Non-Family,Non-Family
2013000795625,West,Pacific,6,11.58,Other Non-English,11.58,2,3
2013000855579,West,Pacific,6,Non-Family,Other Non-English,10.84,Non-Family,Non-Family
2013000922119,West,Pacific,6,9.88,English only,9.88,1,4
2013000936334,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000983850,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000995273,West,Pacific,6,Non-Family,English only,10.94,Non-Family,Non-Family
2013001064345,West,Pacific,6,Non-Family,Other Non-English,11.44,Non-Family,Non-Family
2013001092864,West,Pacific,6,Non-Family,English only,10.92,Non-Family,Non-Family
2013001163709,West,Pacific,6,10.88,Other Non-English,10.88,1,5
2013001196580,West,Pacific,6,Non-Family,English only,10.57,Non-Family,Non-Family
2013001263762,West,Pacific,6,Non-Family,English only,10.08,Non-Family,Non-Family
2013001294840,West,Pacific,6,10.84,Other Non-English,10.84,3+,5
2013001315561,West,Pacific,6,Non-Family,English only,11.87,Non-Family,Non-Family
2013001400348,West,Pacific,6,11.87,Other Non-English,11.87,1,2
2013001430284,West,Pacific,6,Non-Family,Other Non-English,0,Non-Family,Non-Family
2013001432246,West,Pacific,6,Non-Family,English only,12.2,Non-Family,Non-Family
2009000198177,West,Mountain,8,Non-Family,English only,12.01,Non-Family,Non-Family
2009000376122,West,Mountain,8,12.08,English only,12.08,1,2
2009000475553,West,Mountain,8,11.85,English only,11.85,2,2
2009000879929,West,Mountain,8,Non-Family,English only,12.04,Non-Family,Non-Family
2009001327440,West,Mountain,8,Non-Family,English only,9.81,Non-Family,Non-Family
2010000076027,West,Mountain,8,11.95,English only,11.95,1,2
2010000207653,West,Mountain,8,11.51,English only,11.51,2,2
2010000300447,West,Mountain,8,12.7,English only,12.7,3+,3
2010001138405,West,Mountain,8,Non-Family,English only,11.45,Non-Family,Non-Family
2010001342464,West,Mountain,8,11.72,English only,11.72,0,2
2011000083210,West,Mountain,8,11.07,English only,11.07,2,2
2011000505147,West,Mountain,8,Non-Family,English only,9.41,Non-Family,Non-Family
2011001384274,West,Mountain,8,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011001480293,West,Mountain,8,Non-Family,English only,11.34,Non-Family,Non-Family
2012001074316,West,Mountain,8,12.23,English only,12.23,0,2
2013000138899,West,Mountain,8,12.15,English only,12.15,1,2
2013000621005,West,Mountain,8,Non-Family,English only,11.7,Non-Family,Non-Family
2009000506248,Northeast,New England,9,Non-Family,English only,11.42,Non-Family,Non-Family
2009000786139,Northeast,New England,9,13.03,English only,13.03,3+,6
2010000094788,Northeast,New England,9,Non-Family,Other Non-English,12.56,Non-Family,Non-Family
2010000253785,Northeast,New England,9,12.58,English only,12.58,2,4
2011000557304,Northeast,New England,9,13.37,English only,13.37,0,2
2012001430244,Northeast,New England,9,Non-Family,English only,11.62,Non-Family,Non-Family
2013000028066,Northeast,New England,9,Non-Family,Other Non-English,9.34,Non-Family,Non-Family
2013000551290,Northeast,New England,9,Non-Family,English only,10.7,Non-Family,Non-Family
2013000862491,Northeast,New England,9,10.9,Other Non-English,10.9,2,2
2013001390955,Northeast,New England,9,Non-Family,English only,8.85,Non-Family,Non-Family
2009000024405,South,South Atlantic,10,Non-Family,Other Non-English,11.05,Non-Family,Non-Family
2009001208535,South,South Atlantic,10,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000326035,South,South Atlantic,10,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012001410005,South,South Atlantic,10,Non-Family,English only,11.33,Non-Family,Non-Family
2009000142149,South,South Atlantic,11,Non-Family,English only,12.11,Non-Family,Non-Family
2009000775513,South,South Atlantic,11,12.26,English only,12.26,1,2
2010000270232,South,South Atlantic,11,12.91,Other Non-English,12.91,2,2
2010000575969,South,South Atlantic,11,Non-Family,English only,11.49,Non-Family,Non-Family
2009000099147,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000129509,South,South Atlantic,12,12.83,English only,12.83,1,2
2009000234328,South,South Atlantic,12,Non-Family,English only,12.61,Non-Family,Non-Family
2009000344553,South,South Atlantic,12,12.5,Other Non-English,12.5,2,2
2009000448415,South,South Atlantic,12,Non-Family,English only,11.05,Non-Family,Non-Family
2009000519943,South,South Atlantic,12,12.08,English only,12.08,3+,4
2009000725879,South,South Atlantic,12,12.3,English only,12.3,1,2
2009000777267,South,South Atlantic,12,Non-Family,English only,11.56,Non-Family,Non-Family
2009001083209,South,South Atlantic,12,9.35,English only,9.35,2,2
2009001225687,South,South Atlantic,12,11.47,English only,11.47,0,2
2009001275105,South,South Atlantic,12,11.74,English only,11.74,1,2
2009001299052,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000027908,South,South Atlantic,12,12.11,English only,12.11,0,2
2010000028991,South,South Atlantic,12,12.43,English only,12.43,2,3
2010000146475,South,South Atlantic,12,10.9,English only,10.9,2,2
2010000153925,South,South Atlantic,12,12.76,Other Non-English,12.76,2,3
2010000278631,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000478016,South,South Atlantic,12,12.22,English only,12.22,2,2
2010000537628,South,South Atlantic,12,11.84,English only,11.84,2,2
2010000573365,South,South Atlantic,12,Non-Family,English only,12.13,Non-Family,Non-Family
2010000813377,South,South Atlantic,12,12.25,English only,12.25,2,3
2010000832896,South,South Atlantic,12,12.08,Other Non-English,12.08,1,4
2010000871872,South,South Atlantic,12,Non-Family,Other Non-English,11.69,Non-Family,Non-Family
2010000889151,South,South Atlantic,12,Non-Family,English only,13.09,Non-Family,Non-Family
2010000926436,South,South Atlantic,12,Non-Family,English only,7.8,Non-Family,Non-Family
2010001065804,South,South Atlantic,12,Non-Family,Other Non-English,13.19,Non-Family,Non-Family
2010001130560,South,South Atlantic,12,Non-Family,English only,10.65,Non-Family,Non-Family
2010001255041,South,South Atlantic,12,11.48,English only,11.48,0,2
2010001322122,South,South Atlantic,12,11.87,English only,11.87,0,2
2010001362649,South,South Atlantic,12,Non-Family,Other Non-English,11.57,Non-Family,Non-Family
2011000025688,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000439815,South,South Atlantic,12,12.03,Other Non-English,12.03,1,2
2011000444487,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000489172,South,South Atlantic,12,Non-Family,English only,10.44,Non-Family,Non-Family
2011000567848,South,South Atlantic,12,11.51,Other Non-English,11.51,2,3
2011000645965,South,South Atlantic,12,13.48,English only,13.48,0,2
2011000881694,South,South Atlantic,12,11.98,English only,11.98,2,3
2011000894502,South,South Atlantic,12,12.54,Other Non-English,12.54,2,5
2011000933276,South,South Atlantic,12,10.34,Other Non-English,10.74,0,2
2011001005924,South,South Atlantic,12,10.64,English only,10.64,1,5
2012000035316,South,South Atlantic,12,10.11,English only,10.11,1,2
2012000135333,South,South Atlantic,12,10.98,English only,10.98,2,3
2012000147139,South,South Atlantic,12,11.69,English only,11.69,2,2
2012000399889,South,South Atlantic,12,10.63,English only,10.63,0,2
2012000428280,South,South Atlantic,12,Non-Family,English only,7.35,Non-Family,Non-Family
2012000774242,South,South Atlantic,12,11.95,Other Non-English,11.95,1,2
2012001070949,South,South Atlantic,12,11.14,English only,11.14,1,2
2012001122450,South,South Atlantic,12,11.52,English only,11.52,2,2
2012001145033,South,South Atlantic,12,Non-Family,English only,10.76,Non-Family,Non-Family
2012001284676,South,South Atlantic,12,Non-Family,English only,9.21,Non-Family,Non-Family
2012001307987,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012001448307,South,South Atlantic,12,10.6,Other Non-English,10.6,1,2
2012001461436,South,South Atlantic,12,Non-Family,Other Non-English,11.92,Non-Family,Non-Family
2013000122156,South,South Atlantic,12,9.93,Other Non-English,9.93,1,4
2013000251281,South,South Atlantic,12,12.79,Other Non-English,12.8,1,4
2013000317327,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000445861,South,South Atlantic,12,9.96,Other Non-English,9.96,1,2
2013000452231,South,South Atlantic,12,11.18,English only,11.18,0,2
2013000518838,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000743419,South,South Atlantic,12,Non-Family,Other Non-English,12.18,Non-Family,Non-Family
2013000872395,South,South Atlantic,12,Non-Family,English only,0,Non-Family,Non-Family
2013000941193,South,South Atlantic,12,11.55,English only,11.55,2,3
2013001015537,South,South Atlantic,12,Non-Family,Other Non-English,9.28,Non-Family,Non-Family
2013001098733,South,South Atlantic,12,Non-Family,English only,9.14,Non-Family,Non-Family
2013001108486,South,South Atlantic,12,9.47,English only,9.47,0,2
2013001163925,South,South Atlantic,12,10.6,English only,10.6,1,2
2013001182932,South,South Atlantic,12,10.66,English only,10.66,1,2
2013001295053,South,South Atlantic,12,Non-Family,Other Non-English,9.22,Non-Family,Non-Family
2013001299403,South,South Atlantic,12,Non-Family,English only,9.3,Non-Family,Non-Family
2013001403786,South,South Atlantic,12,Non-Family,English only,10.58,Non-Family,Non-Family
2013001423548,South,South Atlantic,12,Non-Family,English only,10.67,Non-Family,Non-Family
2013001475358,South,South Atlantic,12,11.19,English only,11.19,2,2
2013001484341,South,South Atlantic,12,10.32,Other Non-English,10.32,2,6
2009000314929,South,South Atlantic,13,10.44,Other Non-English,10.44,1,3
2009000489461,South,South Atlantic,13,9.73,English only,9.73,0,2
2009001162655,South,South Atlantic,13,9.77,English only,9.77,0,4
2009001168173,South,South Atlantic,13,12.71,English only,12.71,3+,3
2009001383396,South,South Atlantic,13,8.69,English only,8.69,0,2
2010000571343,South,South Atlantic,13,10.99,Other Non-English,10.99,2,3
2010000636681,South,South Atlantic,13,11.12,English only,11.12,0,2
2010000708812,South,South Atlantic,13,Non-Family,English only,10.42,Non-Family,Non-Family
